,county,district_name,instruction,support,community,other,sum,year
352,LA PLATA,IGNACIO 11 JT,,,,,,2010
353,Amount,,"5,266,768","4,611,626",242,"374,139","10,252,776",2010
354,Per Pupil,778.9 ," 6,762 "," 5,921 ", 0 , 480 ," 13,163 ",2010
355,All Funds,,51.4 ,45.0 ,0.0 ,3.6 ,100.0 ,2010
356,LARIMER,POUDRE R-1,,,,,,2010
357,Amount,,"131,660,692","97,631,552","483,298","33,289,706","263,065,248",2010
358,Per Pupil,"25,496.0 "," 5,164 "," 3,829 ", 19 ," 1,306 "," 10,318 ",2010
359,All Funds,,50.0 ,37.1 ,0.2 ,12.7 ,100.0 ,2010
360,LARIMER,THOMPSON R-2J,,,,,,2010
361,Amount,,"72,245,352","56,991,771","2,224,388","14,897,306","146,358,817",2010
362,Per Pupil,"14,469.9 "," 4,993 "," 3,939 ", 154 ," 1,030 "," 10,115 ",2010
363,All Funds,,49.4 ,38.9 ,1.5 ,10.2 ,100.0 ,2010
364,LARIMER,PARK (ESTES PARK) R-3,,,,,,2010
365,Amount,,"6,212,577","4,640,598",0,"2,243,672","13,096,847",2010
366,Per Pupil,"1,154.6 "," 5,381 "," 4,019 ", 0 ," 1,943 "," 11,343 ",2010
367,All Funds,,47.4 ,35.4 ,0.0 ,17.1 ,100.0 ,2010
368,LAS ANIMAS,TRINIDAD 1,,,,,,2010
369,Amount,,"7,199,190","5,658,567","3,249","1,040,571","13,901,578",2010
370,Per Pupil,"1,452.2 "," 4,957 "," 3,897 ", 2 , 717 ," 9,573 ",2010
371,All Funds,,51.8 ,40.7 ,0.0 ,7.5 ,100.0 ,2010
372,LAS ANIMAS,PRIMERO REORGANIZED 2,,,,,,2010
373,Amount,,"1,496,695","1,363,504",0,"1,468,978","4,329,177",2010
374,Per Pupil,206.0 ," 7,266 "," 6,619 ", 0 ," 7,131 "," 21,015 ",2010
375,All Funds,,34.6 ,31.5 ,0.0 ,33.9 ,100.0 ,2010
376,LAS ANIMAS,HOEHNE REORGANIZED 3,,,,,,2010
377,Amount,,"1,526,007","1,552,144",0,"319,534","3,397,684",2010
378,Per Pupil,326.1 ," 4,680 "," 4,760 ", 0 , 980 ," 10,419 ",2010
379,All Funds,,44.9 ,45.7 ,0.0 ,9.4 ,100.0 ,2010
380,LAS ANIMAS,AGUILAR REORGANIZED 6,,,,,,2010
381,Amount,,"1,224,629","917,243",0,"86,848","2,228,719",2010
382,Per Pupil,122.9 ," 9,964 "," 7,463 ", 0 , 707 ," 18,134 ",2010
383,All Funds,,54.9 ,41.2 ,0.0 ,3.9 ,100.0 ,2010
384,LAS ANIMAS,BRANSON REORGANIZED 82,,,,,,2010
385,Amount,,"2,136,497","1,270,103","9,720",0,"3,416,320",2010
386,Per Pupil,436.4 ," 4,896 "," 2,910 ", 22 , 0 ," 7,828 ",2010
387,All Funds,,62.5 ,37.2 ,0.3 ,0.0 ,100.0 ,2010
388,LAS ANIMAS,KIM REORGANIZED 88,,,,,,2010
389,Amount,,"604,028","541,883",0,0,"1,145,911",2010
390,Per Pupil,57.0 ," 10,597 "," 9,507 ", 0 , 0 ," 20,104 ",2010
391,All Funds,,52.7 ,47.3 ,0.0 ,0.0 ,100.0 ,2010
392,LINCOLN,GENOA-HUGO C-113,,,,,,2010
393,Amount,,"1,273,861","1,059,313","5,173","123,401","2,461,748",2010
394,Per Pupil,170.8 ," 7,458 "," 6,202 ", 30 , 722 ," 14,413 ",2010
395,All Funds,,51.7 ,43.0 ,0.2 ,5.0 ,100.0 ,2010
396,LINCOLN,LIMON RE-4J,,,,,,2010
397,Amount,,"2,579,260","1,632,118",282,"638,962","4,850,622",2010
398,Per Pupil,462.0 ," 5,583 "," 3,533 ", 1 ," 1,383 "," 10,499 ",2010
399,All Funds,,53.2 ,33.6 ,0.0 ,13.2 ,100.0 ,2010
400,LINCOLN,KARVAL RE-23,,,,,,2010
401,Amount,,"1,049,533","841,421",0,"45,804","1,936,758",2010
402,Per Pupil,233.1 ," 4,503 "," 3,610 ", 0 , 196 ," 8,309 ",2010
403,All Funds,,54.2 ,43.4 ,0.0 ,2.4 ,100.0 ,2010
404,LOGAN,VALLEY RE-1,,,,,,2010
405,Amount,,"11,831,259","8,373,078","79,958","1,941,903","22,226,197",2010
406,Per Pupil,"2,336.8 "," 5,063 "," 3,583 ", 34 , 831 ," 9,511 ",2010
407,All Funds,,53.2 ,37.7 ,0.4 ,8.7 ,100.0 ,2010
408,LOGAN,FRENCHMAN RE-3,,,,,,2010
409,Amount,,"1,517,818","1,005,411",0,"196,874","2,720,103",2010
410,Per Pupil,187.9 ," 8,078 "," 5,351 ", 0 ," 1,048 "," 14,476 ",2010
411,All Funds,,55.8 ,37.0 ,0.0 ,7.2 ,100.0 ,2010
412,LOGAN,BUFFALO RE-4,,,,,,2010
413,Amount,,"1,815,186","1,346,914",0,"161,114","3,323,214",2010
414,Per Pupil,308.7 ," 5,880 "," 4,363 ", 0 , 522 ," 10,765 ",2010
415,All Funds,,54.6 ,40.5 ,0.0 ,4.8 ,100.0 ,2010
416,LOGAN,PLATEAU RE-5,,,,,,2010
417,Amount,,"1,383,907","1,124,767",0,"94,563","2,603,237",2010
418,Per Pupil,161.1 ," 8,590 "," 6,982 ", 0 , 587 ," 16,159 ",2010
419,All Funds,,53.2 ,43.2 ,0.0 ,3.6 ,100.0 ,2010
420,MESA,DE BEQUE 49JT,,,,,,2010
421,Amount,,"1,055,154","765,557",0,"268,824","2,089,535",2010
422,Per Pupil,137.5 ," 7,674 "," 5,568 ", 0 ," 1,955 "," 15,197 ",2010
423,All Funds,,50.5 ,36.6 ,0.0 ,12.9 ,100.0 ,2010
424,MESA,PLATEAU VALLEY 50,,,,,,2010
425,Amount,,"2,377,474","1,544,894",0,"417,381","4,339,749",2010
426,Per Pupil,463.9 ," 5,125 "," 3,330 ", 0 , 900 ," 9,355 ",2010
427,All Funds,,54.8 ,35.6 ,0.0 ,9.6 ,100.0 ,2010
428,MESA,MESA COUNTY VALLEY 51,,,,,,2010
429,Amount,,"110,888,342","68,180,574","335,939","30,507,658","209,912,512",2010
430,Per Pupil,"21,025.2 "," 5,274 "," 3,243 ", 16 ," 1,451 "," 9,984 ",2010
431,All Funds,,52.8 ,32.5 ,0.2 ,14.5 ,100.0 ,2010
432,MINERAL,CREEDE CONSOLIDATED 1,,,,,,2010
433,Amount,,"1,098,261","683,583",0,"31,108","1,812,953",2010
434,Per Pupil,105.8 ," 10,381 "," 6,461 ", 0 , 294 ," 17,136 ",2010
435,All Funds,,60.6 ,37.7 ,0.0 ,1.7 ,100.0 ,2010
436,MOFFAT,MOFFAT COUNTY RE:NO 1,,,,,,2010
437,Amount,,"13,807,210","8,544,652",0,"3,057,069","25,408,930",2010
438,Per Pupil,"2,267.3 "," 6,090 "," 3,769 ", 0 ," 1,348 "," 11,207 ",2010
439,All Funds,,54.3 ,33.6 ,0.0 ,12.0 ,100.0 ,2010
440,MONTEZUMA,MONTEZUMA-CORTEZ RE-1,,,,,,2010
441,Amount,,"14,244,343","12,057,921",500,"248,679","26,551,443",2010
442,Per Pupil,"2,873.4 "," 4,957 "," 4,196 ", 0 , 87 ," 9,240 ",2010
443,All Funds,,53.6 ,45.4 ,0.0 ,0.9 ,100.0 ,2010
444,MONTEZUMA,DOLORES RE-4A,,,,,,2010
445,Amount,,"3,423,483","2,376,541",478,"387,710","6,188,212",2010
446,Per Pupil,664.8 ," 5,150 "," 3,575 ", 1 , 583 ," 9,308 ",2010
447,All Funds,,55.3 ,38.4 ,0.0 ,6.3 ,100.0 ,2010
448,MONTEZUMA,MANCOS RE-6,,,,,,2010
449,Amount,,"1,992,988","2,076,534",-158,"184,455","4,253,819",2010
450,Per Pupil,373.9 ," 5,330 "," 5,554 ", 0 , 493 ," 11,377 ",2010
451,All Funds,,46.9 ,48.8 ,0.0 ,4.3 ,100.0 ,2010
452,MONTROSE,MONTROSE COUNTY RE-1J,,,,,,2010
453,Amount,,"29,236,992","20,160,783","591,669","3,270,430","53,259,874",2010
454,Per Pupil,"6,074.5 "," 4,813 "," 3,319 ", 97 , 538 ," 8,768 ",2010
455,All Funds,,54.9 ,37.9 ,1.1 ,6.1 ,100.0 ,2010
456,MONTROSE,WEST END RE-2,,,,,,2010
457,Amount,,"1,723,647","2,078,211",305,"106,793","3,908,957",2010
458,Per Pupil,314.7 ," 5,477 "," 6,604 ", 1 , 339 ," 12,421 ",2010
459,All Funds,,44.1 ,53.2 ,0.0 ,2.7 ,100.0 ,2010
460,MORGAN,BRUSH RE-2(J),,,,,,2010
461,Amount,,"7,385,027","5,080,700",0,"1,127,769","13,593,496",2010
462,Per Pupil,"1,444.9 "," 5,111 "," 3,516 ", 0 , 781 ," 9,408 ",2010
463,All Funds,,54.3 ,37.4 ,0.0 ,8.3 ,100.0 ,2010
464,MORGAN,FORT MORGAN RE-3,,,,,,2010
465,Amount,,"14,253,963","12,320,339","332,222","2,826,542","29,733,067",2010
466,Per Pupil,"3,003.3 "," 4,746 "," 4,102 ", 111 , 941 ," 9,900 ",2010
467,All Funds,,47.9 ,41.4 ,1.1 ,9.5 ,100.0 ,2010
468,MORGAN,WELDON VALLEY RE-20(J),,,,,,2010
469,Amount,,"1,450,791","867,092","25,540","148,469","2,491,892",2010
470,Per Pupil,201.0 ," 7,218 "," 4,314 ", 127 , 739 ," 12,397 ",2010
471,All Funds,,58.2 ,34.8 ,1.0 ,6.0 ,100.0 ,2010
472,MORGAN,WIGGINS RE-50(J),,,,,,2010
473,Amount,,"2,704,561","1,844,163",0,"420,834","4,969,558",2010
474,Per Pupil,510.6 ," 5,297 "," 3,612 ", 0 , 824 ," 9,733 ",2010
475,All Funds,,54.4 ,37.1 ,0.0 ,8.5 ,100.0 ,2010
476,OTERO,EAST OTERO R-1,,,,,,2010
477,Amount,,"7,295,150","5,459,713","199,384","1,332,193","14,286,440",2010
478,Per Pupil,"1,365.3 "," 5,343 "," 3,999 ", 146 , 976 ," 10,464 ",2010
479,All Funds,,51.1 ,38.2 ,1.4 ,9.3 ,100.0 ,2010
480,OTERO,ROCKY FORD R-2,,,,,,2010
481,Amount,,"4,645,716","3,519,313","22,537","6,000","8,193,567",2010
482,Per Pupil,812.3 ," 5,719 "," 4,333 ", 28 , 7 ," 10,087 ",2010
483,All Funds,,56.7 ,43.0 ,0.3 ,0.1 ,100.0 ,2010
484,OTERO,MANZANOLA 3J,,,,,,2010
485,Amount,,"1,312,280","1,450,115","3,527","830,499","3,596,421",2010
486,Per Pupil,184.0 ," 7,132 "," 7,881 ", 19 ," 4,514 "," 19,546 ",2010
487,All Funds,,36.5 ,40.3 ,0.1 ,23.1 ,100.0 ,2010
488,OTERO,FOWLER R-4J,,,,,,2010
489,Amount,,"2,467,599","1,400,093",0,"265,983","4,133,675",2010
490,Per Pupil,416.3 ," 5,927 "," 3,363 ", 0 , 639 ," 9,930 ",2010
491,All Funds,,59.7 ,33.9 ,0.0 ,6.4 ,100.0 ,2010
492,OTERO,CHERAW 31,,,,,,2010
493,Amount,,"1,385,061","920,084","46,726","297,531","2,649,402",2010
494,Per Pupil,200.6 ," 6,905 "," 4,587 ", 233 ," 1,483 "," 13,207 ",2010
495,All Funds,,52.3 ,34.7 ,1.8 ,11.2 ,100.0 ,2010
496,OTERO,SWINK 33,,,,,,2010
497,Amount,,"2,202,269","1,541,879",0,"1,203,084","4,947,231",2010
498,Per Pupil,366.3 ," 6,012 "," 4,209 ", 0 ," 3,284 "," 13,506 ",2010
499,All Funds,,44.5 ,31.2 ,0.0 ,24.3 ,100.0 ,2010
500,OURAY,OURAY R-1,,,,,,2010
501,Amount,,"2,004,020","1,101,635",0,"251,333","3,356,987",2010
502,Per Pupil,231.0 ," 8,675 "," 4,769 ", 0 ," 1,088 "," 14,532 ",2010
503,All Funds,,59.7 ,32.8 ,0.0 ,7.5 ,100.0 ,2010
504,OURAY,RIDGWAY R-2,,,,,,2010
505,Amount,,"2,336,416","1,896,742","4,000","1,178,450","5,415,607",2010
506,Per Pupil,335.0 ," 6,974 "," 5,662 ", 12 ," 3,518 "," 16,166 ",2010
507,All Funds,,43.1 ,35.0 ,0.1 ,21.8 ,100.0 ,2010
508,PARK,PLATTE CANYON 1,,,,,,2010
509,Amount,,"5,964,977","4,893,780","139,138","990,349","11,988,244",2010
510,Per Pupil,"1,162.7 "," 5,130 "," 4,209 ", 120 , 852 ," 10,311 ",2010
511,All Funds,,49.8 ,40.8 ,1.2 ,8.3 ,100.0 ,2010
512,PARK,PARK COUNTY RE-2,,,,,,2010
513,Amount,,"4,077,427","2,859,773","7,079","8,538,280","15,482,560",2010
514,Per Pupil,535.3 ," 7,617 "," 5,342 ", 13 ," 15,950 "," 28,923 ",2010
515,All Funds,,26.3 ,18.5 ,0.0 ,55.1 ,100.0 ,2010
516,PHILLIPS,HOLYOKE RE-1J,,,,,,2010
517,Amount,,"3,657,401","1,885,286",0,"213,843","5,756,531",2010
518,Per Pupil,578.0 ," 6,328 "," 3,262 ", 0 , 370 ," 9,959 ",2010
519,All Funds,,63.5 ,32.8 ,0.0 ,3.7 ,100.0 ,2010
520,PHILLIPS,HAXTUN RE-2J,,,,,,2010
521,Amount,,"2,009,137","1,028,345",0,"45,812","3,083,294",2010
522,Per Pupil,292.1 ," 6,878 "," 3,521 ", 0 , 157 ," 10,556 ",2010
523,All Funds,,65.2 ,33.4 ,0.0 ,1.5 ,100.0 ,2010
524,PITKIN,ASPEN 1,,,,,,2010
525,Amount,,"16,237,683","6,969,094",0,"9,404,104","32,610,880",2010
526,Per Pupil,"1,648.7 "," 9,849 "," 4,227 ", 0 ," 5,704 "," 19,780 ",2010
527,All Funds,,49.8 ,21.4 ,0.0 ,28.8 ,100.0 ,2010
528,PROWERS,GRANADA RE-1,,,,,,2010
529,Amount,,"1,624,147","1,015,182",0,698,"2,640,027",2010
530,Per Pupil,232.3 ," 6,992 "," 4,370 ", 0 , 3 ," 11,365 ",2010
531,All Funds,,61.5 ,38.5 ,0.0 ,0.0 ,100.0 ,2010
532,PROWERS,LAMAR RE-2,,,,,,2010
533,Amount,,"8,864,198","4,528,125","92,651","4,393,604","17,878,577",2010
534,Per Pupil,"1,581.4 "," 5,605 "," 2,863 ", 59 ," 2,778 "," 11,306 ",2010
535,All Funds,,49.6 ,25.3 ,0.5 ,24.6 ,100.0 ,2010
536,PROWERS,HOLLY RE-3,,,,,,2010
537,Amount,,"1,667,088","1,069,183","34,070","860,861","3,631,202",2010
538,Per Pupil,277.4 ," 6,010 "," 3,854 ", 123 ," 3,103 "," 13,090 ",2010
539,All Funds,,45.9 ,29.4 ,0.9 ,23.7 ,100.0 ,2010
540,PROWERS,WILEY RE-13 JT,,,,,,2010
541,Amount,,"1,479,268","957,908",0,"112,259","2,549,435",2010
542,Per Pupil,239.1 ," 6,187 "," 4,006 ", 0 , 470 ," 10,663 ",2010
543,All Funds,,58.0 ,37.6 ,0.0 ,4.4 ,100.0 ,2010
544,PUEBLO,PUEBLO CITY 60,,,,,,2010
545,Amount,,"86,439,205","69,526,324","337,221","9,533,741","165,836,492",2010
546,Per Pupil,"17,204.4 "," 5,024 "," 4,041 ", 20 , 554 ," 9,639 ",2010
547,All Funds,,52.1 ,41.9 ,0.2 ,5.7 ,100.0 ,2010
548,PUEBLO,PUEBLO COUNTY RURAL 70,,,,,,2010
549,Amount,,"36,460,764","30,004,548",275,"30,430,981","96,896,568",2010
550,Per Pupil,"8,510.8 "," 4,284 "," 3,525 ", 0 ," 3,576 "," 11,385 ",2010
551,All Funds,,37.6 ,31.0 ,0.0 ,31.4 ,100.0 ,2010
552,RIO BLANCO,MEEKER RE1,,,,,,2010
553,Amount,,"3,967,881","2,309,039",0,"4,396,641","10,673,562",2010
554,Per Pupil,638.4 ," 6,215 "," 3,617 ", 0 ," 6,887 "," 16,719 ",2010
555,All Funds,,37.2 ,21.6 ,0.0 ,41.2 ,100.0 ,2010
556,RIO BLANCO,RANGELY RE-4,,,,,,2010
557,Amount,,"2,677,607","2,222,903","11,921","2,592,929","7,505,359",2010
558,Per Pupil,454.2 ," 5,895 "," 4,894 ", 26 ," 5,709 "," 16,524 ",2010
559,All Funds,,35.7 ,29.6 ,0.2 ,34.5 ,100.0 ,2010
560,RIO GRANDE,DEL NORTE C-7,,,,,,2010
561,Amount,,"2,900,869","2,686,653",0,"521,534","6,109,055",2010
562,Per Pupil,588.3 ," 4,931 "," 4,567 ", 0 , 887 ," 10,384 ",2010
563,All Funds,,47.5 ,44.0 ,0.0 ,8.5 ,100.0 ,2010
564,RIO GRANDE,MONTE VISTA C-8,,,,,,2010
565,Amount,,"5,343,731","3,994,716",0,"5,714,108","15,052,555",2010
566,Per Pupil,"1,134.9 "," 4,709 "," 3,520 ", 0 ," 5,035 "," 13,263 ",2010
567,All Funds,,35.5 ,26.5 ,0.0 ,38.0 ,100.0 ,2010
568,RIO GRANDE,SARGENT RE-33J,,,,,,2010
569,Amount,,"2,478,134","1,830,180",0,"546,216","4,854,530",2010
570,Per Pupil,477.2 ," 5,193 "," 3,835 ", 0 ," 1,145 "," 10,173 ",2010
571,All Funds,,51.0 ,37.7 ,0.0 ,11.3 ,100.0 ,2010
572,ROUTT,HAYDEN RE-1,,,,,,2010
573,Amount,,"3,217,576","1,934,030",0,"69,938","5,221,544",2010
574,Per Pupil,407.0 ," 7,906 "," 4,752 ", 0 , 172 ," 12,829 ",2010
575,All Funds,,61.6 ,37.0 ,0.0 ,1.3 ,100.0 ,2010
576,ROUTT,STEAMBOAT SPRINGS RE-2,,,,,,2010
577,Amount,,"13,026,653","8,434,568",314,"5,078,465","26,540,000",2010
578,Per Pupil,"2,180.4 "," 5,974 "," 3,868 ", 0 ," 2,329 "," 12,172 ",2010
579,All Funds,,49.1 ,31.8 ,0.0 ,19.1 ,100.0 ,2010
580,ROUTT,SOUTH ROUTT RE 3,,,,,,2010
581,Amount,,"2,778,813","2,031,707",0,"892,380","5,702,900",2010
582,Per Pupil,389.0 ," 7,143 "," 5,223 ", 0 ," 2,294 "," 14,660 ",2010
583,All Funds,,48.7 ,35.6 ,0.0 ,15.6 ,100.0 ,2010
584,SAGUACHE,MOUNTAIN VALLEY RE 1,,,,,,2010
585,Amount,,"1,193,134","857,468",0,0,"2,050,602",2010
586,Per Pupil,119.5 ," 9,984 "," 7,175 ", 0 , 0 ," 17,160 ",2010
587,All Funds,,58.2 ,41.8 ,0.0 ,0.0 ,100.0 ,2010
588,SAGUACHE,MOFFAT 2,,,,,,2010
589,Amount,,"1,520,156","1,613,297",0,"1,089,208","4,222,662",2010
590,Per Pupil,201.7 ," 7,537 "," 7,998 ", 0 ," 5,400 "," 20,935 ",2010
591,All Funds,,36.0 ,38.2 ,0.0 ,25.8 ,100.0 ,2010
592,SAGUACHE,CENTER 26 JT,,,,,,2010
593,Amount,,"3,834,029","3,348,584","215,446","3,093,428","10,491,487",2010
594,Per Pupil,568.2 ," 6,748 "," 5,893 ", 379 ," 5,444 "," 18,464 ",2010
595,All Funds,,36.5 ,31.9 ,2.1 ,29.5 ,100.0 ,2010
596,SAN JUAN,SILVERTON 1,,,,,,2010
597,Amount,,"702,843","419,046",0,"4,765,361","5,887,250",2010
598,Per Pupil,65.9 ," 10,665 "," 6,359 ", 0 ," 72,312 "," 89,336 ",2010
599,All Funds,,11.9 ,7.1 ,0.0 ,80.9 ,100.0 ,2010
600,SAN MIGUEL,TELLURIDE R-1,,,,,,2010
601,Amount,,"5,146,839","3,340,212","321,088","2,573,616","11,381,755",2010
602,Per Pupil,678.3 ," 7,588 "," 4,924 ", 473 ," 3,794 "," 16,780 ",2010
603,All Funds,,45.2 ,29.3 ,2.8 ,22.6 ,100.0 ,2010
604,SAN MIGUEL,NORWOOD R-2J,,,,,,2010
605,Amount,,"2,072,837","1,355,292",0,"311,400","3,739,529",2010
606,Per Pupil,261.6 ," 7,924 "," 5,181 ", 0 ," 1,190 "," 14,295 ",2010
607,All Funds,,55.4 ,36.2 ,0.0 ,8.3 ,100.0 ,2010
608,SEDGWICK,JULESBURG RE-1,,,,,,2010
609,Amount,,"9,176,033","1,039,100",0,"579,405","10,794,538",2010
610,Per Pupil,"1,772.6 "," 5,177 ", 586 , 0 , 327 ," 6,090 ",2010
611,All Funds,,85.0 ,9.6 ,0.0 ,5.4 ,100.0 ,2010
612,SEDGWICK,PLATTE VALLEY RE-3,,,,,,2010
613,Amount,,"1,035,526","834,773",0,"71,506","1,941,806",2010
614,Per Pupil,122.0 ," 8,488 "," 6,842 ", 0 , 586 ," 15,916 ",2010
615,All Funds,,53.3 ,43.0 ,0.0 ,3.7 ,100.0 ,2010
616,SUMMIT,SUMMIT RE-1,,,,,,2010
617,Amount,,"19,440,713","14,470,632","233,201","12,390,655","46,535,201",2010
618,Per Pupil,"2,924.3 "," 6,648 "," 4,948 ", 80 ," 4,237 "," 15,913 ",2010
619,All Funds,,41.8 ,31.1 ,0.5 ,26.6 ,100.0 ,2010
620,TELLER,CRIPPLE CREEK-VICTOR RE-1,,,,,,2010
621,Amount,,"3,872,214","1,639,754","2,200","1,516,527","7,030,695",2010
622,Per Pupil,442.1 ," 8,759 "," 3,709 ", 5 ," 3,430 "," 15,903 ",2010
623,All Funds,,55.1 ,23.3 ,0.0 ,21.6 ,100.0 ,2010
624,TELLER,WOODLAND PARK RE-2,,,,,,2010
625,Amount,,"14,125,773","8,521,457",0,"12,202,500","34,849,731",2010
626,Per Pupil,"2,735.8 "," 5,163 "," 3,115 ", 0 ," 4,460 "," 12,738 ",2010
627,All Funds,,40.5 ,24.5 ,0.0 ,35.0 ,100.0 ,2010
628,WASHINGTON,AKRON R-1,,,,,,2010
629,Amount,,"2,321,235","1,486,578",0,"3,074,305","6,882,118",2010
630,Per Pupil,387.8 ," 5,986 "," 3,833 ", 0 ," 7,928 "," 17,747 ",2010
631,All Funds,,33.7 ,21.6 ,0.0 ,44.7 ,100.0 ,2010
632,WASHINGTON,ARICKAREE R-2,,,,,,2010
633,Amount,,"793,381","768,126",0,726,"1,562,233",2010
634,Per Pupil,102.1 ," 7,771 "," 7,523 ", 0 , 7 ," 15,301 ",2010
635,All Funds,,50.8 ,49.2 ,0.0 ,0.0 ,100.0 ,2010
636,WASHINGTON,OTIS R-3,,,,,,2010
637,Amount,,"1,560,767","1,042,664",0,"66,337","2,669,767",2010
638,Per Pupil,194.4 ," 8,029 "," 5,363 ", 0 , 341 ," 13,733 ",2010
639,All Funds,,58.5 ,39.1 ,0.0 ,2.5 ,100.0 ,2010
640,WASHINGTON,LONE STAR 101,,,,,,2010
641,Amount,,"1,030,431","517,597",0,0,"1,548,028",2010
642,Per Pupil,106.6 ," 9,666 "," 4,856 ", 0 , 0 ," 14,522 ",2010
643,All Funds,,66.6 ,33.4 ,0.0 ,0.0 ,100.0 ,2010
644,WASHINGTON,WOODLIN R-104,,,,,,2010
645,Amount,,"807,727","1,051,526",0,699,"1,859,952",2010
646,Per Pupil,100.7 ," 8,021 "," 10,442 ", 0 , 7 ," 18,470 ",2010
647,All Funds,,43.4 ,56.5 ,0.0 ,0.0 ,100.0 ,2010
648,WELD,WELD RE-1,,,,,,2010
649,Amount,,"9,604,926","6,844,167","10,781","393,387","16,853,260",2010
650,Per Pupil,"1,857.8 "," 5,170 "," 3,684 ", 6 , 212 ," 9,072 ",2010
651,All Funds,,57.0 ,40.6 ,0.1 ,2.3 ,100.0 ,2010
652,WELD,EATON RE-2,,,,,,2010
653,Amount,,"7,876,728","4,945,473","1,437","1,030,810","13,854,448",2010
654,Per Pupil,"1,735.8 "," 4,538 "," 2,849 ", 1 , 594 ," 7,982 ",2010
655,All Funds,,56.9 ,35.7 ,0.0 ,7.4 ,100.0 ,2010
656,WELD,KEENESBURG RE-3(J),,,,,,2010
657,Amount,,"10,633,662","8,919,376","9,987","3,403,556","22,966,581",2010
658,Per Pupil,"2,150.0 "," 4,946 "," 4,149 ", 5 ," 1,583 "," 10,682 ",2010
659,All Funds,,46.3 ,38.8 ,0.0 ,14.8 ,100.0 ,2010
660,WELD,WINDSOR RE-4,,,,,,2010
661,Amount,,"20,155,440","16,126,626",645,"25,824,754","62,107,464",2010
662,Per Pupil,"4,126.8 "," 4,884 "," 3,908 ", 0 ," 6,258 "," 15,050 ",2010
663,All Funds,,32.5 ,26.0 ,0.0 ,41.6 ,100.0 ,2010
664,WELD,JOHNSTOWN-MILIKEN RE-5J,,,,,,2010
665,Amount,,"15,126,983","8,700,531",0,"2,587,520","26,415,033",2010
666,Per Pupil,"2,957.5 "," 5,115 "," 2,942 ", 0 , 875 ," 8,932 ",2010
667,All Funds,,57.3 ,32.9 ,0.0 ,9.8 ,100.0 ,2010
668,WELD,GREELEY 6,,,,,,2010
669,Amount,,"89,066,120","64,572,511",0,"13,529,637","167,168,268",2010
670,Per Pupil,"18,574.4 "," 4,795 "," 3,476 ", 0 , 728 ," 9,000 ",2010
671,All Funds,,53.3 ,38.6 ,0.0 ,8.1 ,100.0 ,2010
672,WELD,PLATTE VALLEY RE-7,,,,,,2010
673,Amount,,"6,415,235","6,217,989",0,"4,279,626","16,912,850",2010
674,Per Pupil,"1,110.5 "," 5,777 "," 5,599 ", 0 ," 3,854 "," 15,230 ",2010
675,All Funds,,37.9 ,36.8 ,0.0 ,25.3 ,100.0 ,2010
676,WELD,WELD COUNTY S/D RE-8,,,,,,2010
677,Amount,,"12,403,528","10,870,427","20,495","1,028,835","24,323,285",2010
678,Per Pupil,"2,248.7 "," 5,516 "," 4,834 ", 9 , 458 ," 10,817 ",2010
679,All Funds,,51.0 ,44.7 ,0.1 ,4.2 ,100.0 ,2010
680,WELD,AULT-HIGHLAND RE-9,,,,,,2010
681,Amount,,"4,103,157","3,147,154",0,"620,565","7,870,876",2010
682,Per Pupil,844.6 ," 4,858 "," 3,726 ", 0 , 735 ," 9,319 ",2010
683,All Funds,,52.1 ,40.0 ,0.0 ,7.9 ,100.0 ,2010
684,WELD,BRIGGSDALE RE-10,,,,,,2010
685,Amount,,"1,085,212","889,087",0,"430,233","2,404,531",2010
686,Per Pupil,145.4 ," 7,464 "," 6,115 ", 0 ," 2,959 "," 16,537 ",2010
687,All Funds,,45.1 ,37.0 ,0.0 ,17.9 ,100.0 ,2010
688,WELD,PRAIRIE RE-11,,,,,,2010
689,Amount,,"1,219,619","979,228",0,0,"2,198,847",2010
690,Per Pupil,165.6 ," 7,365 "," 5,913 ", 0 , 0 ," 13,278 ",2010
691,All Funds,,55.5 ,44.5 ,0.0 ,0.0 ,100.0 ,2010
692,WELD,PAWNEE RE-12,,,,,,2010
693,Amount,,"1,041,659","740,004",0,"61,474","1,843,137",2010
694,Per Pupil,97.6 ," 10,673 "," 7,582 ", 0 , 630 ," 18,885 ",2010
695,All Funds,,56.5 ,40.1 ,0.0 ,3.3 ,100.0 ,2010
696,YUMA,YUMA 1,,,,,,2010
697,Amount,,"4,431,710","3,277,849",0,"1,358,007","9,067,566",2010
698,Per Pupil,791.9 ," 5,596 "," 4,139 ", 0 ," 1,715 "," 11,450 ",2010
699,All Funds,,48.9 ,36.1 ,0.0 ,15.0 ,100.0 ,2010
700,YUMA,WRAY RD-2,,,,,,2010
701,Amount,,"3,532,489","2,746,335",0,"800,124","7,078,947",2010
702,Per Pupil,656.9 ," 5,378 "," 4,181 ", 0 ," 1,218 "," 10,776 ",2010
703,All Funds,,49.9 ,38.8 ,0.0 ,11.3 ,100.0 ,2010
704,YUMA,IDALIA RJ-3,,,,,,2010
705,Amount,,"1,154,510","810,850",0,"25,002","1,990,362",2010
706,Per Pupil,135.2 ," 8,539 "," 5,997 ", 0 , 185 ," 14,722 ",2010
707,All Funds,,58.0 ,40.7 ,0.0 ,1.3 ,100.0 ,2010
708,YUMA,LIBERTY J-4,,,,,,2010
