school,district_id,district_name,emh,school_id,school_grade,read_achievement,math_achievement,write_achievement,science_achievement,overall_weighted_growth,read_growth,math_growth,write_growth,graduation_rate
STANDLEY LAKE HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,8209,8,8,9,8,8,8,7,8,9,83.7
LOPEZ ELEMENTARY SCHOOL,1550,POUDRE R-1,E,5292,12,9,9,8,6,11,10,9,12,
PECK ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,6828,12,9,8,9,8,10,10,9,10,
MOUNTAIN VIEW HIGH SCHOOL,1560,THOMPSON R2-J,H,6163,8,7,7,7,6,7,7,7,7,81.7
DEVINNY ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,2194,12,12,11,11,12,10,11,9,9,
LEGEND HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,4271,8,9,9,9,9,6,6,5,9,
WEST DENVER PREP:  FEDERAL CAMPUS,880,DENVER COUNTY 1,M,8085,12,5,7,6,7,13,13,13,13,
LIBERTY COMMON CHARTER SCHOOL,1550,POUDRE R-1,E,5120,12,13,12,13,10,9,6,8,13,
LIMON JUNIOR-SENIOR HIGH SCHOOL,1790,LIMON RE-4J,H,5136,8,7,7,9,7,7,7,5,10,91.4
PEETZ JUNIOR-SENIOR HIGH SCHOOL,1870,PLATEAU RE-5,M,6838,12,10,9,12,10,12,7,9,13,
LIBERTY JUNIOR-SENIOR HIGH SCHOOL,3230,LIBERTY J-4,H,5123,8,6,6,6,6,9,6,10,9,91.7
PALMER RIDGE HIGH SCHOOL,1080,LEWIS-PALMER 38,H,6678,8,9,10,10,10,3,1,4,5,-
COTOPAXI JUNIOR-SENIOR HIGH SCHOOL,1160,COTOPAXI RE-3,H,3228,8,9,7,9,6,9,9,7,10,85
RICE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,7325,12,7,8,7,8,11,9,10,12,
ANIMAS HIGH SCHOOL,8001,CHARTER SCHOOL INSTITUTE,H,75,8,12,10,11,10,6,6,5,6,
PINE RIDGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,6955,11,9,12,9,8,12,9,13,9,
YORK INTERNATIONAL,10,MAPLETON 1,H,503,8,6,6,6,6,12,12,9,12,-
PIKES PEAK PREP,8001,CHARTER SCHOOL INSTITUTE,H,8929,8,10,7,7,6,12,13,11,12,-
BEAR CANYON ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,651,11,10,12,12,10,10,9,11,10,
BROADWAY ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,1046,11,9,9,7,7,10,10,10,9,
FRASER VALLEY ELEMENTARY SCHOOL,1350,EAST GRAND 2,E,3182,11,9,8,9,8,9,10,6,9,
GREENWOOD ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,3648,11,13,13,12,13,9,7,9,10,
HOMESTEAD ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,4078,11,12,12,12,12,10,10,12,6,
STEIN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,8248,11,6,6,7,6,12,11,12,12,
WRAY ELEMENTARY SCHOOL,3210,WRAY RD-2,E,9725,11,9,11,8,,12,9,12,10,
DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,170,DEER TRAIL 26J,H,2140,8,7,6,6,6,9,9,9,7,98.1
GRANADA UNDIVIDED HIGH SCHOOL,2650,GRANADA RE-1,H,3546,8,7,6,6,5,6,12,6,4,-
RANGELY JUNIOR/SENIOR HIGH SCHOOL,2720,RANGELY RE-4,H,7276,8,6,7,6,9,12,12,10,10,83.8
CLEAR CREEK HIGH SCHOOL,540,CLEAR CREEK RE-1,H,4216,8,7,6,7,8,6,6,5,9,81.900000000000006
WRAY HIGH SCHOOL,3210,WRAY RD-2,H,9733,8,7,6,7,9,9,9,7,11,86.3
GOLDEN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,3502,8,9,9,9,9,6,6,7,6,79.7
MANCOS HIGH SCHOOL,2070,MANCOS RE-6,H,5452,8,9,9,6,6,9,6,9,9,79.3
MANNING OPTIONS SCHOOL,1420,JEFFERSON COUNTY R-1,M,5472,11,13,12,13,13,9,7,10,8,
RICARDO FLORES MAGON ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,7278,11,9,13,9,7,12,6,12,12,
GRANT RANCH K-8 SCHOOL,880,DENVER COUNTY 1,M,3605,11,6,6,7,6,10,12,9,9,
LYONS MIDDLE/SENIOR HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,M,5368,11,9,9,10,12,12,9,12,10,
THOMPSON VALLEY HIGH SCHOOL,1560,THOMPSON R2-J,H,8824,8,7,9,8,8,7,6,8,6,81.599999999999994
CENTAURUS HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,1380,7,6,7,6,6,6,5,9,6,84
MEAD HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,5722,7,6,9,9,6,6,6,6,6,
LITTLETON PREP CHARTER SCHOOL,140,LITTLETON 6,M,5233,11,12,7,12,9,9,9,9,8,
ODYSSEY CHARTER ELEMENTARY SCHOOL,880,DENVER COUNTY 1,M,6479,11,11,8,10,9,12,7,12,12,
TWIN PEAKS CHARTER ACADEMY,470,ST VRAIN VALLEY RE 1J,E,8927,11,10,9,10,10,11,12,6,12,
FLEMING HIGH SCHOOL,1850,FRENCHMAN RE-3,H,2988,7,9,10,9,9,6,4,6,6,92
UNIVERSITY SCHOOLS,3120,GREELEY 6,H,2850,7,6,7,6,6,7,5,9,6,85.4
DEL NORTE MIDDLE SCHOOL,2730,DEL NORTE C-7,M,2148,11,6,6,6,8,13,12,13,11,
FOWLER HIGH SCHOOL,2540,FOWLER R-4J,H,3134,7,6,6,7,6,7,6,7,6,85.7
BLUE MOUNTAIN ELEMENTARY,470,ST VRAIN VALLEY RE 1J,E,878,11,11,11,12,12,9,10,5,10,
ELDORADO K-8 SCHOOL,480,BOULDER VALLEY RE 2,E,2589,11,9,12,12,12,9,9,7,10,
PRAIRIE JUNIOR-SENIOR HIGH SCHOOL,3147,PRAIRIE RE-11,H,7156,7,9,9,9,9,7,8,6,9,84.8
CASTLE VIEW HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,1367,7,8,9,8,8,5,3,6,6,87.1
ROCKY MOUNTAIN HIGH SCHOOL,1550,POUDRE R-1,H,7470,7,9,9,9,9,7,6,6,9,90.7
BERGEN VALLEY INTERMEDIATE SCHOOL,1420,JEFFERSON COUNTY R-1,E,779,11,12,12,12,12,9,9,8,9,
BUFFALO RIDGE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,1131,11,12,11,12,8,8,6,7,9,
COYOTE RIDGE ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,1937,11,11,12,9,9,10,12,9,9,
ROLLING HILLS ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,7476,11,11,12,10,9,10,9,9,9,
NORTH STAR ACADEMY,900,DOUGLAS COUNTY RE 1,E,1579,11,10,12,12,9,9,9,10,9,
OMAR D BLAIR CHARTER SCHOOL,880,DENVER COUNTY 1,E,6508,11,6,6,6,5,10,10,9,9,
EAGLECREST HIGH SCHOOL,130,CHERRY CREEK 5,H,2357,7,6,7,6,7,7,6,7,6,79.900000000000006
PLATTE CANYON HIGH SCHOOL,2600,PLATTE CANYON 1,H,7046,7,8,10,9,9,6,5,9,5,84.4
CRIPPLE CREEK-VICTOR JUNIOR-SENIOR HIGH SCHOOL,3010,CRIPPLE CREEK-VICTOR RE-1,H,2024,7,6,6,5,7,11,12,9,9,84.6
PAGOSA SPRINGS HIGH SCHOOL,220,ARCHULETA COUNTY 50 JT,H,6658,7,7,9,6,7,6,6,9,5,88.1
MEEKER HIGH SCHOOL,2710,MEEKER RE1,H,5762,7,7,6,6,10,8,8,10,5,97.8
COUGAR RUN ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,1925,11,10,10,10,8,11,12,9,10,
EAGLE VALLEY MIDDLE SCHOOL,910,EAGLE COUNTY RE 50,M,2355,11,9,8,10,9,12,11,10,12,
SILVER CREEK HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,7789,7,9,9,9,9,5,6,5,6,86.4
NEDERLAND MIDDLE-SENIOR HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,6212,7,8,9,7,10,6,6,6,8,84.5
DOUGLAS COUNTY HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,2230,7,9,9,9,7,5,6,4,6,87.1
EISENHOWER ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,2552,11,9,10,9,11,9,9,8,9,
FAIRMOUNT ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,2866,11,9,10,9,10,13,13,12,12,
GRAND VALLEY HIGH SCHOOL,1220,GARFIELD 16,H,3586,7,6,6,6,6,10,10,6,12,77.8
HOFF ELEMENTARY SCHOOL,3090,KEENESBURG RE-3(J),E,4526,11,9,8,9,7,9,9,9,8,
RAY E KILMER ELEMENTARY SCHOOL,1080,LEWIS-PALMER 38,E,4686,11,12,11,12,10,9,9,6,9,
SANDBURG ELEMENTARY SCHOOL,140,LITTLETON 6,E,7606,11,12,12,12,10,9,12,9,6,
GILPIN COUNTY UNDIVIDED HIGH SCHOOL,1330,GILPIN COUNTY RE-1,H,1634,7,8,7,7,9,8,6,9,7,80.400000000000006
MANITOU SPRINGS HIGH SCHOOL,1030,MANITOU SPRINGS 14,H,5468,7,6,6,7,6,5,1,6,5,97.3
THE PINNACLE CHARTER SCHOOL HIGH,8001,CHARTER SCHOOL INSTITUTE,H,6914,7,6,6,6,6,9,11,6,9,90.4
FOOTHILL ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,3022,10,12,12,12,12,9,9,7,10,
LAKE COUNTY HIGH SCHOOL,1510,LAKE COUNTY R-1,H,4904,7,6,6,5,6,12,13,13,10,70.8
MAPLE GROVE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,5524,10,12,11,11,10,11,12,6,12,
TELLURIDE MIDDLE SCHOOL,2830,TELLURIDE R-1,M,8790,10,9,7,10,13,11,11,9,12,
STARGATE CHARTER SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,1519,10,12,13,12,12,8,7,6,9,
FRED N THOMAS CAREER EDUCATION CENTER,880,DENVER COUNTY 1,H,1319,7,9,8,7,6,7,10,6,7,85.7
FRUITA MONUMENT HIGH SCHOOL,2000,MESA COUNTY VALLEY 51,H,6070,7,9,7,8,9,9,9,9,7,86.2
LA VETA JUNIOR-SENIOR HIGH SCHOOL,1400,LA VETA RE-2,H,4864,7,5,6,5,7,6,6,9,4,95.7
CENTER HIGH SCHOOL,2810,CENTER 26 JT,H,1420,7,5,5,5,4,10,10,8,10,81
GOLD CAMP ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,E,3482,10,12,11,12,9,9,8,9,9,
ACADEMY OF CHARTER SCHOOLS,20,ADAMS 12 FIVE STAR SCHOOLS,H,15,7,7,6,8,6,6,6,6,7,88.9
AMERICAN ACADEMY AT CASTLE PINES CHARTER,900,DOUGLAS COUNTY RE 1,E,215,10,12,12,11,13,8,9,6,9,
CRAWFORD ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),M,1952,10,6,6,8,6,12,9,12,9,
CUSTER COUNTY HIGH SCHOOL,860,CUSTER COUNTY SCHOOL DISTR,H,2092,7,7,6,6,6,8,4,10,7,86
HERITAGE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,3928,10,12,12,12,10,9,9,7,8,
HOLYOKE SENIOR HIGH SCHOOL,2620,HOLYOKE RE-1J,H,4080,7,6,7,6,6,6,1,9,5,89.1
NORTH STAR ACADEMY,900,DOUGLAS COUNTY RE 1,M,1579,10,10,9,9,10,11,9,12,8,
GREEN MOUNTAIN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,3628,7,9,9,7,9,6,6,7,6,84.3
OTIS JUNIOR-SENIOR HIGH SCHOOL,3050,OTIS R-3,H,6586,7,9,10,10,12,5,3,6,6,82.8
FLEMING ELEMENTARY SCHOOL,1850,FRENCHMAN RE-3,E,2980,10,9,7,9,7,12,12,12,9,
SCOTT ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,7705,10,12,12,12,10,9,9,7,9,
RYE HIGH SCHOOL,2700,PUEBLO COUNTY 70,H,7534,7,6,6,6,6,6,9,3,6,84.5
ARVADA WEST HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,378,7,7,7,7,7,6,6,6,6,79.400000000000006
CHERAW HIGH SCHOOL,2560,CHERAW 31,H,1546,7,9,6,8,9,6,4,7,6,88.9
BROADMOOR ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,E,1592,10,12,11,11,12,9,9,9,9,
DURANGO HIGH SCHOOL,1520,DURANGO 9-R,H,2318,7,7,9,9,7,6,4,6,6,77.2
JAMES IRWIN CHARTER ELEMENTARY SCHOOL,980,HARRISON 2,E,4380,10,11,12,12,10,9,10,8,7,
BEAR CREEK K-8 SCHOOL,1420,JEFFERSON COUNTY R-1,M,660,10,10,9,12,12,9,9,9,7,
BERTHOUD ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,808,10,11,10,12,12,10,10,9,10,
DEL NORTE HIGH SCHOOL,2730,DEL NORTE C-7,H,2150,7,6,6,6,9,6,5,5,7,82
HOEHNE HIGH SCHOOL,1600,HOEHNE REORGANIZED 3,H,4048,7,7,6,7,6,6,6,5,6,86.4
ELDORADO K-8 SCHOOL,480,BOULDER VALLEY RE 2,M,2589,10,12,9,12,9,9,7,9,7,
ACRES GREEN ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,12,10,9,9,9,8,10,10,8,12,
EAST HIGH SCHOOL,880,DENVER COUNTY 1,H,2398,6,7,8,8,8,7,8,6,8,77.2
ELLICOTT SENIOR HIGH SCHOOL,1050,ELLICOTT 22,H,2642,6,6,6,6,6,9,7,9,9,82.1
FORT COLLINS HIGH SCHOOL,1550,POUDRE R-1,H,3046,6,6,9,8,7,6,6,6,6,82.2
SMOKY HILL HIGH SCHOOL,130,CHERRY CREEK 5,H,8020,6,7,8,7,7,6,6,6,6,80.7
GEORGETOWN COMMUNITY SCHOOL,540,CLEAR CREEK RE-1,E,3385,10,10,10,10,12,9,9,9,8,
INDIAN RIDGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,4280,10,9,12,9,12,11,12,8,10,
STEAMBOAT SPRINGS MIDDLE SCHOOL,2770,STEAMBOAT SPRINGS RE-2,M,8210,10,10,9,11,9,9,7,10,9,
BEAR CREEK HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,664,6,7,9,7,8,6,6,6,5,87.7
LOVELAND HIGH SCHOOL,1560,THOMPSON R2-J,H,5316,6,8,9,8,9,6,6,6,6,78.900000000000006
SHELTON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,7833,10,9,9,9,8,12,13,12,6,
VANDERHOOF ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,9058,10,8,9,9,9,10,9,12,8,
CHAPPELOW K-8 MAGNET SCHOOL,3120,GREELEY 6,E,1500,10,7,9,6,6,9,7,10,9,
MONTESSORI PEAKS CHARTER ACADEMY,1420,JEFFERSON COUNTY R-1,E,5994,10,9,9,8,9,10,6,11,12,
ROARING FORK HIGH SCHOOL,1180,ROARING FORK RE-1,H,7422,6,6,6,6,5,10,10,7,12,66.2
HI PLAINS UNDIVIDED HIGH SCHOOL,1460,HI-PLAINS R-23,H,7746,6,6,6,6,6,8,8,9,6,85
DOHERTY HIGH SCHOOL,1010,COLORADO SPRINGS 11,H,2202,6,9,9,9,9,6,5,6,6,76.900000000000006
GRAHAM MESA ELEMENTARY SCHOOL,1195,GARFIELD RE-2,E,3281,10,6,6,5,,12,12,13,9,
YUMA MIDDLE SCHOOL,3200,YUMA 1,M,9791,10,6,6,6,5,12,9,13,12,
EARLY COLLEGE HIGH SCHOOL AT ARVADA,8001,CHARTER SCHOOL INSTITUTE,H,2837,6,9,6,8,7,6,6,6,6,-
EAGLE VALLEY HIGH SCHOOL,910,EAGLE COUNTY RE 50,H,2350,6,7,9,7,6,6,4,6,6,91
SIERRA GRANDE SENIOR HIGH SCHOOL,740,SIERRA GRANDE R-30,H,7880,6,5,6,5,6,9,8,9,7,72.7
WESTVIEW MIDDLE SCHOOL,470,ST VRAIN VALLEY RE 1J,M,9430,10,9,7,9,9,10,9,9,9,
FRANKLIN ELEMENTARY SCHOOL,140,LITTLETON 6,E,752,10,10,12,9,9,10,7,10,10,
PRAIRIE CROSSING ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,7134,10,7,9,9,7,9,11,9,7,
WOODLAND PARK HIGH SCHOOL,3020,WOODLAND PARK RE-2,H,9696,6,9,8,9,8,6,6,5,7,79.5
ARAPAHOE RIDGE ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,301,10,8,9,8,9,10,7,9,12,
ASPEN ELEMENTARY SCHOOL,2640,ASPEN 1,E,428,10,10,12,9,,9,9,7,8,
COYOTE CREEK ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,1934,10,9,9,9,9,9,9,9,9,
VISTA RIDGE HIGH SCHOOL,1110,FALCON 49,H,8791,6,7,7,7,6,6,6,6,6,-
IDALIA JUNIOR-SENIOR HIGH SCHOOL,3220,IDALIA RJ-3,H,4231,6,6,7,6,7,6,6,6,5,92.9
COLORADO SPRINGS EARLY COLLEGES,8001,CHARTER SCHOOL INSTITUTE,H,1795,6,9,9,9,8,7,6,6,10,59.8
EAGLE RIDGE ACADEMY,40,BRIGHTON 27J,H,2399,6,8,6,7,9,9,9,9,7,
PRAIRIE WINDS ELEMENTARY SCHOOL,1080,LEWIS-PALMER 38,E,7165,10,12,12,12,9,7,5,7,10,
STRAWBERRY PARK ELEMENTARY SCHOOL,2770,STEAMBOAT SPRINGS RE-2,E,8358,10,11,12,10,11,9,10,10,7,
YALE ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,9756,10,5,5,5,5,13,13,13,13,
ACADEMY CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,M,11,10,10,9,10,9,12,9,12,9,
CROWN POINTE CHARTER ACADEMY,70,WESTMINSTER 50,M,2035,10,10,9,11,9,9,9,7,9,
JOHN F KENNEDY HIGH SCHOOL,880,DENVER COUNTY 1,H,4444,6,5,5,5,5,9,9,7,7,70.2
RIFLE HIGH SCHOOL,1195,GARFIELD RE-2,H,7360,6,6,6,6,5,8,9,7,7,73.7
BENNETT HIGH SCHOOL,50,BENNETT 29J,H,775,6,6,7,6,6,6,4,6,6,85.7
LITTLETON HIGH SCHOOL,140,LITTLETON 6,H,5224,6,6,9,8,9,6,5,6,6,78.3
SURFACE CREEK VISION SCHOOL,870,DELTA COUNTY 50(J),H,8419,6,9,5,7,6,6,5,3,9,68.099999999999994
FOX HOLLOW ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,16,10,9,12,9,9,10,9,10,9,
FOX CREEK ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,3138,10,9,10,9,10,9,9,9,9,
DELTA HIGH SCHOOL,870,DELTA COUNTY 50(J),H,2164,6,6,6,6,6,6,7,6,9,87.7
CAMPBELL ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,1238,10,7,7,9,7,12,9,11,12,
CHEYENNE MOUNTAIN CHARTER ACADEMY,1020,CHEYENNE MOUNTAIN 12,E,1582,10,12,12,12,12,9,10,6,9,
EAGLE RIDGE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,2234,10,9,9,9,9,10,9,9,9,
KENDALLVUE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,4549,10,7,7,7,6,9,7,10,9,
KING-MURPHY ELEMENTARY SCHOOL,540,CLEAR CREEK RE-1,E,4700,10,12,12,12,12,8,6,6,10,
PALMER HIGH SCHOOL,1010,COLORADO SPRINGS 11,H,6680,6,7,9,7,7,6,5,6,5,73.8
SOUTHERN COLORADO EARLY COLLEGE,2700,PUEBLO COUNTY 70,H,7879,6,10,7,9,7,6,6,7,6,66
STONE CREEK SCHOOL,8001,CHARTER SCHOOL INSTITUTE,M,653,10,10,8,12,8,9,9,8,10,
HIGHLINE ACADEMY CHARTER SCHOOL,880,DENVER COUNTY 1,E,3987,10,9,8,7,6,10,9,9,10,
WIGGINS HIGH SCHOOL,2515,WIGGINS RE-50(J),H,9582,6,6,6,6,5,6,7,3,8,89.1
BRUSH HIGH SCHOOL,2395,BRUSH RE-2(J),H,1096,6,6,7,6,6,7,9,8,5,78.400000000000006
POUDRE HIGH SCHOOL,1550,POUDRE R-1,H,7124,6,6,9,8,8,5,6,5,5,82.1
LOTUS SCHOOL FOR EXCELLENCE,180,ADAMS-ARAPAHOE 28J,H,5298,6,6,6,5,6,10,12,9,9,
KIT CARSON JUNIOR-SENIOR HIGH SCHOOL,510,KIT CARSON R-1,H,4742,6,8,6,9,6,5,4,5,5,91.9
DUNN ELEMENTARY SCHOOL,1550,POUDRE R-1,E,2298,10,9,11,9,10,10,9,10,8,
HARRISON HIGH SCHOOL,980,HARRISON 2,H,3806,6,5,6,6,6,8,8,7,8,72
MC MEEN ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,5716,10,5,6,6,5,12,12,12,12,
WELDON VALLEY HIGH SCHOOL,2505,WELDON VALLEY RE-20(J),H,9360,6,7,6,7,7,5,6,6,1,84.5
COLUMBINE ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,1844,10,5,5,5,5,12,11,12,9,
GRANADA ELEMENTARY SCHOOL,2650,GRANADA RE-1,E,3542,10,6,6,7,6,10,7,9,11,
RED SANDSTONE ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,7296,10,7,10,9,7,11,12,10,8,
SCENIC ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,9434,10,9,9,8,9,9,9,9,9,
HANOVER JUNIOR-SENIOR HIGH SCHOOL,1070,HANOVER 28,H,3758,6,6,6,6,5,9,6,7,11,77.099999999999994
ANTONITO HIGH SCHOOL,580,SOUTH CONEJOS RE-10,H,252,6,6,5,6,3,9,12,6,10,89.2
LONGMONT HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,5282,6,6,7,6,6,5,6,6,6,86
STRATTON SENIOR HIGH SCHOOL,1480,STRATTON R-4,H,8354,6,6,9,6,6,5,2,6,5,97.4
AKRON HIGH SCHOOL,3030,AKRON R-1,H,90,6,6,6,7,6,7,8,5,9,100
BASALT ELEMENTARY SCHOOL,1180,ROARING FORK RE-1,E,560,10,6,7,6,,12,9,10,12,
BENJAMIN EATON ELEMENTARY SCHOOL,3085,EATON RE-2,E,754,10,9,9,9,12,9,10,9,7,
PINON VALLEY ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,E,6953,10,10,9,12,9,9,9,9,9,
SOARING HAWK ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,8106,10,9,9,8,7,9,10,9,9,
SOUTHERN HILLS MIDDLE SCHOOL,480,BOULDER VALLEY RE 2,M,8135,10,12,10,12,12,9,9,9,9,
SAND CREEK HIGH SCHOOL,1110,FALCON 49,H,7613,6,6,7,6,6,6,6,6,6,79.5
EATON HIGH SCHOOL,3085,EATON RE-2,H,2456,6,9,8,9,9,3,4,1,6,79.400000000000006
BETHUNE JUNIOR-SENIOR HIGH SCHOOL,1490,BETHUNE R-5,H,842,6,6,6,6,6,6,3,7,6,95.7
GUNNISON HIGH SCHOOL,1360,GUNNISON WATERSHED RE1J,H,3694,6,6,6,6,7,6,4,6,6,87.1
HORIZON HIGH SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,H,4108,6,6,7,6,6,6,6,7,5,83.1
MOUNTAIN RANGE HIGH SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,H,6060,6,6,6,6,6,6,6,6,8,82.9
LITTLETON ACADEMY,140,LITTLETON 6,E,5229,10,12,12,13,13,9,9,9,8,
THE CLASSICAL ACADEMY MIDDLE SCHOOL,1040,ACADEMY 20,M,1629,10,12,9,12,9,8,6,9,6,
LONGFELLOW ELEMENTARY SCHOOL,500,SALIDA R-32,E,5268,10,6,9,6,,9,6,9,12,
PUEBLO WEST HIGH SCHOOL,2700,PUEBLO COUNTY 70,H,7214,6,7,6,7,7,6,7,6,6,76.2
SOUTHEAST ELEMENTARY SCHOOL,40,BRIGHTON 27J,E,8130,10,6,9,6,6,9,9,8,9,
FRONTIER CHARTER ACADEMY,3120,GREELEY 6,E,1875,10,10,12,11,13,9,8,6,12,
LINCOLN CHARTER ACADEMY,1420,JEFFERSON COUNTY R-1,E,5145,10,9,10,9,10,9,9,9,6,
MOUNT VIEW CORE KNOWLEDGE CHARTER SCHOOL,1140,CANON CITY RE-1,M,6752,10,9,6,9,9,10,11,8,9,
EADS HIGH SCHOOL,1430,EADS RE-1,H,2336,6,7,6,6,9,5,4,4,6,83.3
LAMAR HIGH SCHOOL,2660,LAMAR RE-2,H,4960,6,6,6,6,6,9,10,6,9,66.400000000000006
FLORENCE HIGH SCHOOL,1150,FREMONT RE-2,H,3002,6,6,6,6,7,8,7,6,9,83.7
ERIE HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,2761,6,7,9,6,9,3,3,4,4,86.6
LARKSPUR ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,4980,10,9,10,9,6,9,8,10,9,
MANUAL HIGH SCHOOL,880,DENVER COUNTY 1,H,5448,6,3,5,3,4,8,9,7,8,-
STERLING HIGH SCHOOL,1828,VALLEY RE-1,H,8260,6,6,7,7,7,6,6,7,6,69.8
LEGACY ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,60,10,6,6,6,6,12,13,9,10,
ANTELOPE RIDGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,242,10,7,9,8,7,9,9,9,9,
FOOTHILLS ELEMENTARY SCHOOL,1040,ACADEMY 20,E,3104,10,9,9,9,9,7,6,6,9,
MONTROSE HIGH SCHOOL,2180,MONTROSE COUNTY RE-1J,H,6058,6,6,7,6,8,6,6,7,5,82.9
GENOA-HUGO SENIOR HIGH SCHOOL,1780,GENOA-HUGO C113,H,4162,6,5,6,5,6,6,6,6,7,84.7
TARVER ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,2410,10,6,9,6,7,12,8,13,12,
LONE STAR UNDIVIDED HIGH SCHOOL,3060,LONE STAR 101,H,5258,6,7,5,9,6,5,6,1,9,88.9
POWDERHORN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,7128,10,9,9,10,9,9,7,9,9,
THOMAS MACLAREN STATE CHARTER SCHOOL,8001,CHARTER SCHOOL INSTITUTE,M,8825,10,12,6,10,9,9,10,6,9,
ASPEN VALLEY HIGH SCHOOL,1040,ACADEMY 20,H,209,6,6,6,6,6,9,9,10,8,45.1
GEORGE WASHINGTON HIGH SCHOOL,880,DENVER COUNTY 1,H,3378,6,6,7,6,6,7,7,6,6,76
WALSH HIGH SCHOOL,230,WALSH RE-1,H,9226,6,9,9,6,6,5,1,9,1,91.4
SWINK ELEMENTARY SCHOOL,2570,SWINK 33,E,8452,10,9,10,10,13,9,9,10,6,
ESTES PARK MIDDLE SCHOOL,1570,PARK (ESTES PARK) R-3,M,2792,9,7,6,7,9,9,9,9,10,
NORTH FORK MONTESSORI SCHOOL,870,DELTA COUNTY 50(J),E,6298,9,12,9,12,12,9,9,6,11,
