school,district_id,district_name,emh,emh_combined,school_id,school_grade,read_achievement,math_achievement,write_achievement,science_achievement,overall_weighted_growth,read_growth,math_growth,write_growth,graduation_rate
NORTH PARK JUNIOR-SENIOR HIGH SCHOOL,1410,NORTH PARK R-1,H,False,6358,9,9,7,10,10,7,6,9,6,82.8
SOUTHERN COLORADO EARLY COLLEGE,2700,PUEBLO COUNTY 70,H,False,7879,9,10,7,11,9,7,7,8,7,
SUMMIT MIDDLE CHARTER SCHOOL,480,BOULDER VALLEY RE 2,M,False,8387,12,13,13,13,13,9,7,9,12,
LARKSPUR ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,4980,12,9,9,9,9,12,11,12,9,
PIONEER ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,6961,12,9,9,9,8,10,10,9,9,
HARRIS BILINGUAL ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,3787,12,7,9,8,6,12,11,10,12,
THOMPSON VALLEY HIGH SCHOOL,1560,THOMPSON R-2J,H,False,8824,8,7,9,7,7,8,9,9,6,88.0
FOSSIL RIDGE HIGH SCHOOL,1550,POUDRE R-1,H,False,3105,8,10,10,10,11,4,6,3,6,93.8
STRATTON SENIOR HIGH SCHOOL,1480,STRATTON R-4,H,False,8354,8,7,8,8,6,5,5,6,6,100.0
WOODLAND PARK HIGH SCHOOL,3020,WOODLAND PARK RE-2,H,False,9696,8,9,9,9,9,6,6,6,8,85.0
BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,480,BOULDER VALLEY RE 2,E,False,919,12,11,10,10,12,9,9,9,10,
CENTENNIAL HIGH SCHOOL,640,CENTENNIAL R-1,H,False,1398,8,6,6,6,,13,12,12,10,81.3
KRUSE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,4793,12,9,10,9,9,10,10,9,10,
MANITOU SPRINGS HIGH SCHOOL,1030,MANITOU SPRINGS 14,H,False,5468,8,9,8,9,8,6,6,7,6,88.7
FLAGLER MIDDLE SCHOOL,1450,ARRIBA-FLAGLER C-20,M,False,2958,12,8,6,9,9,12,11,11,13,
CANYON CREEK ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,1273,12,7,9,9,7,12,13,10,10,
REDSTONE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,7297,12,10,12,9,10,11,9,9,12,
VISTA RIDGE HIGH SCHOOL,1110,FALCON 49,H,False,8791,8,7,9,9,7,6,6,6,6,
DOLORES HIGH SCHOOL,2055,DOLORES RE-4A,H,False,2208,8,8,9,7,9,7,5,12,6,90.8
LAKEWOOD HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,4942,8,9,11,9,9,6,6,6,6,82.1
EISENHOWER ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,False,2552,11,9,11,9,12,10,9,9,9,
COYOTE HILLS ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,243,11,12,13,12,11,8,7,9,7,
ELIZABETH HIGH SCHOOL,920,ELIZABETH C-1,H,False,2608,8,9,9,9,8,6,7,5,6,90.3
CHATFIELD HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,1522,8,9,11,9,9,6,3,7,5,89.1
MARSHDALE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,5580,11,10,12,10,11,10,7,12,10,
OTIS JUNIOR-SENIOR HIGH SCHOOL,3050,OTIS R-3,H,False,6586,8,10,10,11,12,6,3,6,7,83.3
SCOTT ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,False,7705,11,12,12,12,9,9,9,7,12,
BEAR CREEK HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,664,8,7,9,8,7,6,6,6,5,90.7
ERIE ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,False,2758,11,6,7,6,8,12,12,9,12,
FLORENCE HIGH SCHOOL,1150,FREMONT RE-2,H,False,3002,8,6,6,6,6,9,8,9,9,90.4
PLATTE VALLEY HIGH SCHOOL,3130,PLATTE VALLEY RE-7,H,False,4670,8,6,6,7,9,6,6,7,6,92.1
SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL,110,SANGRE DE CRISTO RE-22J,H,False,7630,8,6,6,6,6,6,6,6,8,93.1
WILLOW CREEK ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,9624,11,12,12,12,12,9,7,11,8,
EAGLE RIDGE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,2234,11,10,10,9,10,12,12,11,10,
SILVER CREEK ELEMENTARY,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,7795,11,9,12,9,9,10,9,11,9,
UNIVERSITY SCHOOLS,3120,GREELEY 6,H,False,2850,8,7,6,7,6,6,6,7,5,91.7
CORONADO ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,1876,11,10,10,10,12,10,12,9,9,
WINDSOR HIGH SCHOOL,3100,WINDSOR RE-4,H,False,9672,8,8,7,9,7,6,5,6,6,86.2
THE CLASSICAL ACADEMY MIDDLE SCHOOL,1040,ACADEMY 20,M,False,1629,11,12,9,12,12,9,10,9,7,
MONARCH K-8 SCHOOL,480,BOULDER VALLEY RE 2,E,False,6000,11,10,10,12,10,11,9,9,12,
DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,170,DEER TRAIL 26J,H,False,2140,7,6,6,6,6,6,6,5,9,95.3
ELLICOTT SENIOR HIGH SCHOOL,1050,ELLICOTT 22,H,False,2642,7,6,6,6,6,7,9,5,9,91.7
EAGLECREST HIGH SCHOOL,130,CHERRY CREEK 5,H,False,2357,7,6,8,7,7,7,6,8,7,83.6
SADDLE RANCH ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,7562,11,10,12,11,8,10,9,9,9,
MEADOW MOUNTAIN ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,False,5742,11,5,6,6,6,12,13,10,10,
CENTAURI HIGH SCHOOL,550,NORTH CONEJOS RE-1J,H,False,1378,7,6,8,7,6,7,6,10,6,96.5
STARGATE CHARTER SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,1519,11,13,13,10,13,9,7,9,8,
SIERRA GRANDE SENIOR HIGH SCHOOL,740,SIERRA GRANDE R-30,H,False,7880,7,6,7,5,5,10,9,12,6,68.2
MERIDIAN ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,59,11,10,12,9,9,9,11,7,9,
PALMER HIGH SCHOOL,1010,COLORADO SPRINGS 11,H,False,6680,7,8,10,9,9,6,6,9,6,77.6
GOVERNOR'S RANCH ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,3536,11,7,9,9,7,10,9,10,9,
SEMPER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,7753,11,9,9,9,9,12,9,12,10,
FOWLER HIGH SCHOOL,2540,FOWLER R-4J,H,False,3134,7,7,7,8,6,6,3,8,9,88.0
HOEHNE HIGH SCHOOL,1600,HOEHNE REORGANIZED 3,H,False,4048,7,9,6,10,9,6,6,7,6,92.9
MANNING OPTIONS SCHOOL,1420,JEFFERSON COUNTY R-1,M,False,5472,11,12,10,12,12,9,6,11,6,
WEST WOODS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,9429,11,12,12,12,12,8,7,9,6,
PRAIRIE WINDS ELEMENTARY SCHOOL,1080,LEWIS-PALMER 38,E,False,7165,11,12,12,12,12,8,8,7,8,
BACON ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,490,11,10,10,10,7,9,10,9,7,
THE CONNECT CHARTER SCHOOL,2700,PUEBLO COUNTY 70,M,False,8810,11,13,12,13,13,8,7,6,10,
LONGMONT HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,False,5282,7,6,9,7,7,6,6,6,7,90.1
HAYDEN HIGH SCHOOL,2760,HAYDEN RE-1,H,False,3862,7,6,9,6,7,6,5,8,6,90.1
COMPASS MONTESSORI - GOLDEN CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,H,True,1880,7,7,8,7,11,10,9,8,12,84.6
SMOKY HILL HIGH SCHOOL,130,CHERRY CREEK 5,H,False,8020,7,7,9,8,8,6,6,6,6,85.1
COLUMBINE HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,1864,7,9,9,9,8,6,6,6,6,87.4
BENNETT HIGH SCHOOL,50,BENNETT 29J,H,False,775,7,6,7,7,6,7,6,7,9,87.9
ROLLING HILLS ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,7476,11,12,12,10,9,9,9,9,9,
DOHERTY HIGH SCHOOL,1010,COLORADO SPRINGS 11,H,False,2202,7,9,9,9,9,6,6,6,7,81.5
EAST HIGH SCHOOL,880,DENVER COUNTY 1,H,False,2398,7,7,9,8,7,7,9,6,7,81.2
ARVADA WEST HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,378,7,6,8,7,7,5,5,6,5,85.3
LITTLETON HIGH SCHOOL,140,LITTLETON 6,H,False,5224,7,7,9,9,8,6,6,7,7,81.4
SILVER CREEK HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,False,7789,7,10,10,10,10,6,6,6,6,89.0
LOVELAND HIGH SCHOOL,1560,THOMPSON R-2J,H,False,5316,7,9,9,8,7,6,6,6,6,82.9
DENVER SCHOOL OF THE ARTS,880,DENVER COUNTY 1,M,True,2184,11,12,7,12,10,5,6,3,6,
ACRES GREEN ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,12,11,9,9,9,8,10,12,7,10,
FRANKLIN ELEMENTARY SCHOOL,140,LITTLETON 6,E,False,752,11,11,11,9,9,12,9,12,12,
HERITAGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,3926,11,9,12,9,10,9,12,6,7,
YUMA MIDDLE SCHOOL,3200,YUMA 1,M,False,9791,11,6,6,7,6,12,11,12,10,
PRAIRIE HILLS ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,7155,10,6,9,6,7,10,9,10,9,
LUKAS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,5350,10,8,9,8,9,10,12,11,7,
CREEDE JUNIOR-SENIOR HIGH SCHOOL,2010,CREEDE SCHOOL DISTRICT,H,True,1966,7,9,9,9,13,7,5,9,9,88.9
GILPIN COUNTY UNDIVIDED HIGH SCHOOL,1330,GILPIN COUNTY RE-1,H,False,1634,7,9,6,7,10,9,6,12,7,81.0
MEEKER HIGH SCHOOL,2710,MEEKER RE1,H,False,5762,7,9,9,7,9,6,6,9,3,90.2
FOX CREEK ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,3138,10,10,11,9,9,9,10,9,8,
PRAIRIE JUNIOR-SENIOR HIGH SCHOOL,3147,PRAIRIE RE-11,M,True,7156,10,7,6,9,8,9,5,11,10,
THOMAS JEFFERSON HIGH SCHOOL,880,DENVER COUNTY 1,H,False,8822,7,6,6,6,6,9,9,7,9,78.2
RAY E KILMER ELEMENTARY SCHOOL,1080,LEWIS-PALMER 38,E,False,4686,10,11,11,11,10,9,7,9,7,
PAONIA HIGH SCHOOL,870,DELTA COUNTY 50(J),H,True,6708,7,9,7,9,10,9,8,7,10,92.8
BANNING LEWIS RANCH ACADEMY,1110,FALCON 49,M,False,555,10,10,6,10,9,12,12,9,12,
FALCON HIGH SCHOOL,1110,FALCON 49,H,False,2908,7,8,8,8,7,6,5,6,6,84.7
OLATHE HIGH SCHOOL,2180,MONTROSE COUNTY RE-1J,H,False,6494,7,6,7,6,6,6,6,8,5,90.2
KING-MURPHY ELEMENTARY SCHOOL,540,CLEAR CREEK RE-1,E,False,4700,10,12,12,12,12,9,7,9,11,
HERITAGE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,3928,10,11,12,12,12,8,9,7,7,
BASALT ELEMENTARY SCHOOL,1180,ROARING FORK RE-1,E,False,560,10,6,6,5,,12,11,12,12,
HANOVER JUNIOR-SENIOR HIGH SCHOOL,1070,HANOVER 28,H,False,3758,7,6,6,6,6,9,9,6,9,85.7
D'EVELYN JUNIOR/SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,M,True,2120,10,12,12,12,12,3,1,7,1,
MOUNTAIN VIEW HIGH SCHOOL,1560,THOMPSON R-2J,H,False,6163,7,7,7,7,7,6,7,6,6,82.0
MOUNTAIN RANGE HIGH SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,H,False,6060,7,6,7,6,6,6,6,6,8,83.7
MESA ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,False,5838,10,12,12,12,12,9,9,7,10,
FRISCO ELEMENTARY SCHOOL,3000,SUMMIT RE-1,E,False,8374,10,9,10,9,9,10,12,9,6,
MONTROSE HIGH SCHOOL,2180,MONTROSE COUNTY RE-1J,H,False,6058,7,6,7,6,8,6,6,8,6,88.6
PAONIA ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),E,False,6700,10,8,10,9,9,11,8,12,9,
FRED N THOMAS CAREER EDUCATION CENTER,880,DENVER COUNTY 1,H,False,1319,7,9,6,6,6,7,12,6,6,88.9
IDALIA JUNIOR-SENIOR HIGH SCHOOL,3220,IDALIA RJ-3,H,False,4231,7,9,7,7,6,6,9,6,6,93.3
FOOTHILL ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,False,3022,10,12,12,12,12,9,8,6,10,
BROADMOOR ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,E,False,1592,10,12,11,11,12,9,9,7,8,
EDWARDS ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,False,2530,10,6,6,6,6,12,12,9,12,
NORMANDY ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,6286,10,12,12,12,11,9,8,9,10,
SHELTON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,7833,10,9,8,8,9,10,10,10,9,
PEETZ JUNIOR-SENIOR HIGH SCHOOL,1870,PLATEAU RE-5,M,False,6838,10,11,9,13,9,9,7,6,13,
DAKOTA RIDGE SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,2093,7,9,10,9,9,6,6,6,5,85.3
MESA VALLEY VISION HOME AND COMMUNITY PROGRAM,2000,MESA COUNTY VALLEY 51,H,True,5828,7,13,6,12,9,9,5,12,9,
FREDERICK SENIOR HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,False,3196,7,6,6,6,6,8,9,6,7,82.6
GRAND VALLEY HIGH SCHOOL,1220,GARFIELD 16,H,False,3586,6,6,6,6,6,12,12,7,12,80.2
ESTES PARK HIGH SCHOOL,1570,PARK (ESTES PARK) R-3,H,False,2794,6,7,9,9,11,6,7,6,6,85.6
CORONADO HIGH SCHOOL,1010,COLORADO SPRINGS 11,H,False,1870,6,7,9,9,9,5,5,5,6,80.2
PARMALEE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,6804,10,10,12,11,12,10,11,10,7,
YORK INTERNATIONAL,10,MAPLETON 1,H,True,503,6,6,6,6,6,12,11,9,12,
MOUNT VIEW CORE KNOWLEDGE CHARTER SCHOOL,1140,CANON CITY RE-1,M,False,6752,10,9,6,9,9,10,10,9,9,
HOWBERT ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,False,4138,10,12,12,11,11,9,8,9,9,
CHALLENGE TO EXCELLENCE CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,M,False,1512,10,9,8,9,10,11,8,12,9,
CHERRY VALLEY ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,1578,10,7,7,7,9,9,8,9,10,
GRANADA ELEMENTARY SCHOOL,2650,GRANADA RE-1,E,False,3542,10,7,7,8,6,9,7,9,11,
ELK CREEK ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,2616,10,10,10,10,10,10,9,10,9,
SCENIC ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,False,9434,10,9,10,9,9,9,10,7,9,
BLACK ROCK ELEMENTARY,470,ST VRAIN VALLEY RE 1J,E,False,875,10,9,9,9,9,12,7,13,10,
GRANADA UNDIVIDED HIGH SCHOOL,2650,GRANADA RE-1,H,True,3546,6,6,6,6,6,8,9,9,6,96.4
PALISADE HIGH SCHOOL,2000,MESA COUNTY VALLEY 51,H,False,6666,6,7,8,7,7,12,11,12,9,71.5
BYERS JUNIOR-SENIOR HIGH SCHOOL,190,BYERS 32J,H,True,1176,6,10,6,9,5,10,9,9,12,90.6
BASALT HIGH SCHOOL,1180,ROARING FORK RE-1,H,False,570,6,6,7,6,6,7,6,11,6,86.6
DEL NORTE HIGH SCHOOL,2730,DEL NORTE C-7,H,False,2150,6,6,6,6,6,6,6,5,7,92.7
DENVER CENTER FOR INTERNATIONAL STUDIES,880,DENVER COUNTY 1,H,True,2183,6,9,6,9,6,8,9,6,8,95.0
GEORGE WASHINGTON HIGH SCHOOL,880,DENVER COUNTY 1,H,False,3378,6,6,7,6,6,8,9,8,6,80.3
GRANT RANCH K-8 SCHOOL,880,DENVER COUNTY 1,E,True,3605,10,6,7,6,6,9,9,9,9,
GRANT RANCH K-8 SCHOOL,880,DENVER COUNTY 1,M,True,3605,10,7,6,7,6,9,9,9,9,
GUNNISON HIGH SCHOOL,1360,GUNNISON WATERSHED RE1J,H,False,3694,6,6,7,6,7,6,5,7,6,87.1
MONTESSORI PEAKS CHARTER ACADEMY,1420,JEFFERSON COUNTY R-1,E,True,5994,10,9,8,7,9,9,8,9,8,
MONTESSORI PEAKS CHARTER ACADEMY,1420,JEFFERSON COUNTY R-1,M,True,5994,10,9,9,9,,11,10,9,10,
STEIN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,8248,10,6,6,6,5,10,10,9,10,
ERIE HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,False,2761,6,9,9,7,9,5,6,5,5,90.3
CENTAURUS HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,False,1380,6,6,8,6,6,9,6,12,6,88.4
REVERE JUNIOR-SENIOR HIGH SCHOOL,2865,PLATTE VALLEY RE-3,H,False,7322,6,8,6,6,6,6,5,9,6,87.5
DELTA VISION SCHOOL,870,DELTA COUNTY 50(J),H,True,2166,6,6,6,6,6,8,9,6,7,93.8
MC MEEN ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,5716,10,5,6,6,6,12,12,11,12,
STEELE ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,8242,10,9,9,7,9,12,11,10,10,
GRAND JUNCTION HIGH SCHOOL,2000,MESA COUNTY VALLEY 51,H,False,3570,6,7,8,7,7,7,7,7,6,77.5
JOHN F KENNEDY HIGH SCHOOL,880,DENVER COUNTY 1,H,False,4444,6,5,6,5,5,9,9,9,6,80.4
FLEMING HIGH SCHOOL,1850,FRENCHMAN RE-3,H,False,2988,6,10,10,12,8,3,4,3,6,95.3
ROCKY MOUNTAIN HIGH SCHOOL,1550,POUDRE R-1,H,False,7470,6,9,9,9,9,5,4,5,5,90.6
CRAWFORD ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),E,True,1952,10,8,10,8,9,9,7,7,10,
CRAWFORD ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),M,True,1952,10,6,6,7,6,12,10,13,10,
NEW VISTA HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,False,6195,6,8,8,9,7,5,3,6,5,88.9
CHIPETA ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,False,1613,10,12,12,12,10,9,10,7,8,
MINTURN MIDDLE SCHOOL,910,EAGLE COUNTY RE 50,M,False,5930,10,8,6,9,9,9,10,9,9,
MORTON ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,False,6132,10,7,10,8,6,10,7,11,10,
WELDON VALLEY JUNIOR HIGH SCHOOL,2505,WELDON VALLEY RE-20(J),M,False,9356,10,7,6,10,6,12,13,9,10,
WIGGINS HIGH SCHOOL,2515,WIGGINS RE-50(J),H,False,9582,6,6,6,6,6,6,6,5,9,83.3
SANFORD JUNIOR/SENIOR HIGH SCHOOL,560,SANFORD 6J,H,True,7616,6,7,12,9,10,9,11,9,5,85.2
MC CLAVE UNDIVIDED HIGH SCHOOL,310,MC CLAVE RE-2,H,True,5670,6,9,12,7,9,9,5,12,10,100.0
WIDEFIELD HIGH SCHOOL,990,WIDEFIELD 3,H,False,9566,6,6,7,6,6,5,5,6,5,90.7
GEORGETOWN COMMUNITY SCHOOL,540,CLEAR CREEK RE-1,E,False,3385,10,10,9,9,12,9,9,9,8,
GREEN GABLES ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,3622,10,7,7,7,9,12,9,13,8,
TIMNATH ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,8852,10,8,9,7,7,10,11,10,8,
DURANGO HIGH SCHOOL,1520,DURANGO 9-R,H,False,2318,6,7,9,7,9,4,1,7,3,82.2
HOLYOKE SENIOR HIGH SCHOOL,2620,HOLYOKE RE-1J,H,False,4080,6,6,9,7,6,5,1,9,3,90.6
WELDON VALLEY HIGH SCHOOL,2505,WELDON VALLEY RE-20(J),H,False,9360,6,6,7,9,6,5,6,8,2,82.2
HULSTROM OPTIONS K-8 SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,False,4172,10,12,10,13,12,7,7,7,8,
ERIE MIDDLE SCHOOL,470,ST VRAIN VALLEY RE 1J,M,False,2760,10,9,6,9,10,11,10,12,9,
CENTER HIGH SCHOOL,2810,CENTER 26 JT,H,False,1420,6,5,4,5,2,12,13,8,12,85.3
TOLLGATE ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,False,8858,10,5,6,5,6,12,9,12,9,
EAGLE VALLEY HIGH SCHOOL,910,EAGLE COUNTY RE 50,H,False,2350,6,7,6,7,7,3,3,4,3,91.2
SAND CREEK HIGH SCHOOL,1110,FALCON 49,H,False,7613,6,7,7,6,6,7,6,7,9,80.8
PLATEAU VALLEY HIGH SCHOOL,1990,PLATEAU VALLEY 50,H,False,7032,6,9,6,7,5,9,12,6,6,83.3
RYE HIGH SCHOOL,2700,PUEBLO COUNTY 70,H,False,7534,6,9,8,8,9,5,6,2,6,87.0
SUMMIT HIGH SCHOOL,3000,SUMMIT RE-1,H,False,8378,6,6,7,6,6,6,5,7,6,85.2
MONUMENT CHARTER ACADEMY,1080,LEWIS-PALMER 38,M,False,5093,10,12,11,13,12,8,6,7,9,
RUNYON ELEMENTARY SCHOOL,140,LITTLETON 6,E,False,7518,10,9,10,10,9,9,10,9,7,
ELDORADO K-8 SCHOOL,480,BOULDER VALLEY RE 2,M,False,2589,10,12,9,12,10,8,7,7,7,
GOLD CAMP ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,E,False,3482,10,11,10,12,9,9,10,6,9,
HORIZON HIGH SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,H,False,4108,6,6,7,6,6,6,6,8,5,85.3
HIGH PLAINS ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,1572,10,8,9,9,10,10,9,9,10,
RED SANDSTONE ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,False,7296,10,9,9,9,9,8,9,6,9,
MIAMI-YODER SENIOR HIGH SCHOOL,1130,MIAMI/YODER 60 JT,H,False,5854,6,6,6,6,6,6,9,5,6,92.0
MONTVIEW MATH & HEALTH SCIENCES ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,False,6068,10,4,7,3,5,12,9,13,10,
BRUSH HIGH SCHOOL,2395,BRUSH RE-2(J),H,False,1096,6,6,7,6,6,7,9,6,7,83.3
KOHL ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,False,4792,10,9,10,9,10,10,9,10,9,
LAKE COUNTY HIGH SCHOOL,1510,LAKE COUNTY R-1,H,False,4904,6,5,6,5,6,13,12,12,10,59.3
TARVER ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,2410,10,6,9,6,7,10,9,10,9,
COYOTE CREEK ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,1934,10,10,10,9,8,9,11,9,6,
VANDERHOOF ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,9058,10,8,9,8,9,9,11,9,7,
LIBERTY JUNIOR-SENIOR HIGH SCHOOL,3230,LIBERTY J-4,H,True,5123,6,6,6,6,5,7,6,9,7,96.3
PEABODY ELEMENTARY SCHOOL,140,LITTLETON 6,E,False,6814,10,8,9,8,9,9,9,7,9,
MEEKER ELEMENTARY SCHOOL,2710,MEEKER RE1,E,False,5750,10,6,9,7,8,9,7,9,9,
EADS HIGH SCHOOL,1430,EADS RE-1,H,False,2336,6,7,7,6,7,2,2,3,3,96.2
YUMA HIGH SCHOOL,3200,YUMA 1,H,False,9799,6,6,6,6,6,7,8,8,6,81.9
AKRON HIGH SCHOOL,3030,AKRON R-1,H,False,90,6,6,7,6,6,5,5,7,2,94.7
MONTE VISTA SENIOR HIGH SCHOOL,2740,MONTE VISTA C-8,H,False,6046,6,6,6,6,6,6,6,7,4,86.4
YALE ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,False,9756,10,3,6,5,4,13,9,13,12,
FLATIRONS ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,False,2970,10,13,12,11,12,6,3,7,8,
WHEAT RIDGE HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,9510,5,6,8,6,6,7,6,9,7,79.0
SURFACE CREEK VISION SCHOOL,870,DELTA COUNTY 50(J),H,True,8419,6,9,6,7,6,6,5,6,6,85.2
CHERRY CREEK CHARTER ACADEMY,130,CHERRY CREEK 5,E,False,1571,10,12,12,11,11,7,7,7,6,
MIDDLE PARK HIGH SCHOOL,1350,EAST GRAND 2,H,False,5864,6,6,9,6,8,5,3,9,1,95.8
POUDRE HIGH SCHOOL,1550,POUDRE R-1,H,False,7124,6,8,10,9,9,4,3,6,3,84.3
SAND CREEK ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,7610,10,9,10,10,9,9,10,6,10,
THE DA VINCI ACADEMY SCHOOL,1040,ACADEMY 20,E,False,8813,10,10,10,9,12,9,7,9,9,
BETHUNE JUNIOR-SENIOR HIGH SCHOOL,1490,BETHUNE R-5,H,False,842,6,6,6,6,6,6,3,8,3,97.0
FOX HOLLOW ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,16,10,9,12,10,9,9,10,9,8,
OMAR D BLAIR CHARTER SCHOOL,880,DENVER COUNTY 1,E,True,6508,10,6,7,6,5,12,12,10,12,
OMAR D BLAIR CHARTER SCHOOL,880,DENVER COUNTY 1,M,True,6508,10,6,5,6,6,9,9,9,9,
DEVINNY ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,2194,10,10,10,10,10,8,9,6,7,
LIBERTY COMMON CHARTER SCHOOL,1550,POUDRE R-1,E,False,5120,10,13,12,13,12,6,5,7,7,
TRINIDAD HIGH SCHOOL,1580,TRINIDAD 1,H,False,8906,6,6,6,6,6,7,9,8,6,74.5
LA VETA JUNIOR-SENIOR HIGH SCHOOL,1400,LA VETA RE-2,H,True,4864,6,7,7,6,12,6,6,6,3,84.0
FORT LUPTON HIGH SCHOOL,3140,WELD COUNTY S/D RE-8,H,False,3070,6,6,6,6,5,9,9,8,9,60.6
VILAS UNDIVIDED HIGH SCHOOL,260,VILAS RE-5,H,False,9100,6,8,6,6,6,7,8,6,8,80.0
