school,school_id,pct_remediation,year
OLATHE HIGH SCHOOL,6494,0.58,2012
OVERLAND HIGH SCHOOL,6625,0.51,2012
PAGOSA SPRINGS HIGH SCHOOL,6658,0.52,2012
PALISADE SENIOR HIGH SCHOOL,6666,0.53,2012
WILLIAM J PALMER HIGH SCHOOL,6680,0.25,2012
PAONIA SENIOR HIGH SCHOOL,6708,0.21,2012
PEAK TO PEAK CHARTER SCHOOL,6816,0.23,2012
PINE CREEK HIGH SCHOOL,6937,0.24,2012
PLATTE CANYON HIGH SCHOOL,7046,0.22,2012
POMONA HIGH SCHOOL,7114,0.28,2012
PONDEROSA HS SPECIAL EDUC,7118,0.17,2012
POUDRE HIGH SCHOOL,7124,0.19,2012
PRAIRIE VIEW HIGH SCHOOL,7129,0.48,2012
PUEBLO COUNTY HIGH SCHOOL,7208,0.53,2012
PUEBLO WEST HIGH SCHOOL,7214,0.32,2012
RALSTON VALLEY HIGH SCHOOL,7239,0.18,2012
RAMPART HIGH SCHOOL,7240,0.2,2012
RANGEVIEW HIGH SCHOOL,7250,0.52,2012
RIFLE HIGH SCHOOL,7360,0.47,2012
ROARING FORK HIGH SCHOOL,7422,0.58,2012
ROCK CANYON HIGH SCHOOL,7435,0.16,2012
ROCKY MOUNTAIN HIGH SCHOOL,7470,0.25,2012
ROOSEVELT HIGH SCHOOL,7490,0.31,2012
RYE HIGH SCHOOL,7534,0.43,2012
SALIDA HIGH SCHOOL,7568,0.3,2012
SAND CREEK HIGH SCHOOL,7613,0.45,2012
SILVER CREEK HIGH SCHOOL,7789,0.27,2012
SIERRA HIGH SCHOOL,7882,0.68,2012
SKYLINE HIGH SCHOOL,7954,0.47,2012
SMOKY HILL HIGH SCHOOL,8020,0.32,2012
SOUTH HIGH SCHOOL,8082,0.35,2012
SOUTH HIGH SCHOOL,8086,0.67,2012
STANDLEY LAKE HIGH SCHOOL,8209,0.29,2012
STEAMBOAT SPRINGS HIGH SCHOOL,8212,0.27,2012
STERLING HIGH SCHOOL,8260,0.35,2012
SUMMIT COUNTY HIGH SCHOOL,8378,0.26,2012
THOMAS JEFFERSON HIGH SCHOOL,8822,0.51,2012
THOMPSON VALLEY HIGH SCHOOL,8824,0.24,2012
THUNDERRIDGE HIGH SCHOOL,8847,0.23,2012
TRINIDAD HIGH SCHOOL,8906,0.69,2012
VALLEY HIGH SCHOOL,9032,0.56,2012
ROY J WASSON HIGH SCHOOL,9298,0.56,2012
WEST HIGH SCHOOL,9408,0.9,2012
WESTMINSTER SR HIGH SCHOOL,9466,0.65,2012
WHEAT RIDGE SR HIGH SCHOOL,9510,0.3,2012
WIDEFIELD HIGH SCHOOL,9566,0.42,2012
WINDSOR HIGH SCHOOL,9672,0.42,2012
WOODLAND PARK HIGH SCHOOL,9696,0.34,2012
