school,district_id,district_name,emh,emh_combined,school_id,school_grade,read_achievement,math_achievement,write_achievement,science_achievement,overall_weighted_growth,read_growth,math_growth,write_growth,graduation_rate,year
CENTRAL ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,False,1434,1,6,6,6,6,1,2,1,2,,2010
FREDERICK ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,False,3192,1,5,6,5,5,1,3,1,1,,2010
MONROE ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,False,5988,1,3,5,3,3,3,3,5,2,,2010
CLAYTON PARTNERSHIP SCHOOL,10,MAPLETON 1,E,True,509,1,1,3,1,1,3,5,4,1,,2010
CLAYTON PARTNERSHIP SCHOOL,10,MAPLETON 1,M,True,509,1,3,1,1,2,5,6,4,5,,2010
FLAGLER ELEMENTARY SCHOOL,1450,ARRIBA-FLAGLER C-20,E,False,2956,1,6,6,6,6,1,1,1,1,,2010
DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,170,DEER TRAIL 26J,M,False,2140,1,6,3,6,6,1,1,2,1,,2010
UNDERWOOD ELEMENTARY SCHOOL,2730,DEL NORTE C-7,E,False,8960,1,5,6,5,5,1,2,1,1,,2010
MOUNTAIN VALLEY MIDDLE SCHOOL,2790,MOUNTAIN VALLEY RE 1,M,False,6144,1,4,1,5,5,2,2,3,1,,2010
ROSE HILL ELEMENTARY SCHOOL,30,ADAMS COUNTY 14,E,False,7500,1,3,6,4,3,1,1,5,1,,2010
IGNACIO INTERMEDIATE SCHOOL,1540,IGNACIO 11 JT,E,False,4252,1,6,5,5,6,2,3,4,1,,2010
NUCLA JUNIOR/SENIOR HIGH SCHOOL,2190,WEST END RE-2,M,False,6436,1,4,2,3,6,1,2,3,1,,2010
ARKANSAS ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,False,310,1,5,5,5,3,2,1,3,3,,2010
P.S.1 CHARTER SCHOOL,880,DENVER COUNTY 1,M,True,7199,1,1,1,1,1,5,6,3,6,,2010
HANSON PREK-8 SCHOOL,30,ADAMS COUNTY 14,E,False,6534,1,2,3,1,1,3,3,5,1,,2010
KEMPER ELEMENTARY SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,E,False,4546,1,5,6,3,3,1,3,1,1,,2010
FORT LOGAN ELEMENTARY SCHOOL,123,SHERIDAN 2,E,False,3054,1,3,5,3,3,1,3,1,2,,2010
JEFFERSON INTERMEDIATE SCHOOL,2530,ROCKY FORD R-2,E,False,5114,1,6,6,6,5,1,1,3,1,,2010
NORTHEAST ELEMENTARY SCHOOL,40,BRIGHTON 27J,E,False,6395,1,5,6,6,5,1,1,3,1,,2010
LAKE GEORGE CHARTER SCHOOL,2610,PARK COUNTY RE-2,E,False,4908,1,6,6,5,5,1,1,1,1,,2010
PRITCHETT MIDDLE SCHOOL,240,PRITCHETT RE-3,M,False,7176,1,6,3,6,,1,1,1,1,,2010
SPANGLER ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,False,8140,1,3,5,3,1,1,5,1,3,,2010
JACK SWIGERT AEROSPACE ACADEMY,1010,COLORADO SPRINGS 11,M,False,8457,1,3,2,3,3,2,1,2,3,,2010
ALSUP ELEMENTARY SCHOOL,30,ADAMS COUNTY 14,E,False,186,1,5,6,5,3,1,1,1,1,,2010
HOPE ON-LINE,900,DOUGLAS COUNTY RE 1,M,False,3995,1,1,1,1,1,1,3,1,1,,2010
BRIGHTON HERITAGE ACADEMY,40,BRIGHTON 27J,M,False,1021,1,1,1,1,1,1,1,2,4,,2010
ANTONITO JUNIOR HIGH SCHOOL,580,SOUTH CONEJOS RE-10,M,False,250,1,5,1,5,5,1,1,1,1,,2010
BESSEMER ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,False,822,1,3,6,3,3,1,1,1,1,,2010
FREED MIDDLE SCHOOL,2690,PUEBLO CITY 60,M,False,3206,1,5,1,5,5,1,1,3,1,,2010
LEMUEL PITTS MIDDLE SCHOOL,2690,PUEBLO CITY 60,M,False,5048,1,5,1,5,5,1,1,1,1,,2010
V.I.L.A.S. ONLINE SCHOOL,260,VILAS RE-5,M,False,9085,1,5,1,4,3,1,1,1,1,,2010
HIGHLAND MONTESSORI SCHOOL,10,MAPLETON 1,E,False,504,1,2,2,2,1,1,1,1,2,,2010
MESA ELEMENTARY SCHOOL,70,WESTMINSTER 50,E,False,5834,1,1,3,2,3,1,1,3,1,,2010
JOHN EVANS MIDDLE SCHOOL,3120,GREELEY 6,M,False,4438,1,2,1,3,1,1,3,1,3,,2010
SHERRELWOOD ELEMENTARY SCHOOL,70,WESTMINSTER 50,E,False,7860,1,2,4,2,2,2,2,3,2,,2010
FAIRVIEW ELEMENTARY SCHOOL,70,WESTMINSTER 50,E,False,2876,1,1,5,1,4,1,1,1,1,,2010
FRANCIS M. DAY ELEMENTARY SCHOOL,70,WESTMINSTER 50,E,False,3144,1,1,2,2,1,1,3,3,1,,2010
JOSEPHINE HODGKINS ELEMENTARY SCHOOL,70,WESTMINSTER 50,E,False,4465,1,1,3,1,3,1,1,1,3,,2010
SOBESKY ACADEMY,1420,JEFFERSON COUNTY R-1,M,False,8036,1,1,1,1,1,1,2,1,1,,2010
MANNY MARTINEZ MIDDLE SCHOOL,880,DENVER COUNTY 1,M,False,5430,1,1,1,1,1,1,1,1,1,,2010
SPANN ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,False,8143,1,3,3,1,1,1,1,1,1,,2010
ACE COMMUNITY CHALLENGE CHARTER SCHOOL,880,DENVER COUNTY 1,M,False,1866,1,1,1,1,,1,1,1,1,,2010
HOPE ON-LINE,900,DOUGLAS COUNTY RE 1,E,False,3995,1,2,2,1,3,1,1,1,1,,2010
NEW HORIZONS DAY SCHOOL,980,HARRISON 2,M,False,6244,1,1,1,1,1,1,1,1,1,,2010
CONNECTIONS LEARNING CENTER ON THE EARLE JOHNSON C,1420,JEFFERSON COUNTY R-1,M,False,4798,1,1,1,1,1,1,1,1,1,,2010
IRVING ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,False,4302,1,4,4,3,3,1,1,1,1,,2010
JAMES H RISLEY MIDDLE SCHOOL,2690,PUEBLO CITY 60,M,False,4376,1,3,1,3,3,1,1,1,1,,2010
YOUTH & FAMILY ACADEMY CHARTER,2690,PUEBLO CITY 60,M,False,9785,1,1,1,1,1,1,1,2,1,,2010
ACADEMY ONLINE HIGH SCHOOL,1040,ACADEMY 20,H,False,110,,,,,,,,,,,2010
TCA COLLEGE PATHWAYS,1040,ACADEMY 20,H,False,8779,,,,,,,,,,,2010
CROSSROAD ALTERNATIVE SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,2031,,,,,,,,,,,2010
CROSSROAD ALTERNATIVE SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,False,2031,,,,,,,,,,,2010
NEW AMERICA SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,H,False,6261,,,,,,,,,,,2010
STEM SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,,False,8275,,,,,,,,,,,2010
THE STUDIO SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,8211,,7,8,6,,,,,,,2010
WESTGATE CHARTER,20,ADAMS 12 FIVE STAR SCHOOLS,M,False,9431,,6,6,7,,,,,,,2010
WESTGATE CHARTER,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,9431,,10,11,9,10,1,1,3,3,,2010
APS ONLINE SCHOOL,180,ADAMS-ARAPAHOE 28J,,False,219,,,,,,,,,,,2010
FLETCHER PRIMARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,False,2998,,1,4,1,,,,,,,2010
LOTUS SCHOOL FOR EXCELLENCE,180,ADAMS-ARAPAHOE 28J,H,True,5298,,5,6,6,6,11,12,9,9,,2010
LOTUS SCHOOL FOR EXCELLENCE,180,ADAMS-ARAPAHOE 28J,M,True,5298,,5,4,6,4,7,6,8,7,,2010
OPTIONS SCHOOL,180,ADAMS-ARAPAHOE 28J,H,False,6546,,,,,,,,,,,2010
VISTA PEAK 9-12 PREPARATORY,180,ADAMS-ARAPAHOE 28J,,False,9125,,,,,,,,,,,2010
VISTA PEAK P-8 EXPLORATORY,180,ADAMS-ARAPAHOE 28J,,False,9083,,,,,,,,,,,2010
AGATE ELEMENTARY SCHOOL,960,AGATE 300,E,False,44,,12,7,12,,,,,,,2010
AGATE JUNIOR-SENIOR HIGH SCHOOL,960,AGATE 300,H,True,48,,7,7,7,8,9,10,12,4,100.0,2010
AGATE JUNIOR-SENIOR HIGH SCHOOL,960,AGATE 300,M,True,48,,7,6,9,,6,3,6,10,,2010
ALAMOSA OPEN SCHOOL,100,ALAMOSA RE-11J,H,False,119,,1,1,3,,,,,,37.9,2010
BOYD ELEMENTARY SCHOOL,100,ALAMOSA RE-11J,E,False,944,,6,6,5,,,,,,,2010
POLSTON ELEMENTARY SCHOOL,100,ALAMOSA RE-11J,,False,2402,,,,,,,,,,,2010
ARCHULETA COUNTY HIGH SCHOOL,220,ARCHULETA COUNTY 50 JT,H,False,64,,,,,,,,,,40.5,2010
PAGOSA SPRINGS INTERMEDIATE SCHOOL,220,ARCHULETA COUNTY 50 JT,E,False,6656,,,,,,,,,,,2010
ARICKAREE UNDIVIDED HIGH SCHOOL,3040,ARICKAREE R-2,H,False,308,,9,10,10,,10,7,9,12,95.8,2010
ARICKAREE UNDIVIDED HIGH SCHOOL,3040,ARICKAREE R-2,M,False,308,,7,6,7,7,7,6,12,2,,2010
BOULDER PREP CHARTER HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,False,934,,1,1,1,,,,,,33.1,2010
BOULDER UNIVERSAL,480,BOULDER VALLEY RE 2,,False,930,,,,,,,,,,,2010
GOLD HILL ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,False,3488,,8,7,6,,,,,,,2010
HALCYON SCHOOL (SPECIAL EDUCATION),480,BOULDER VALLEY RE 2,H,False,3499,,,,,,,,,,,2010
HALCYON SCHOOL (SPECIAL EDUCATION),480,BOULDER VALLEY RE 2,M,False,3499,,,,,,,,,,,2010
JAMESTOWN ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,False,4386,,13,13,11,,,,,,,2010
JUSTICE HIGH CHARTER SCHOOL,480,BOULDER VALLEY RE 2,M,False,4496,,,,,,,,,,,2010
BRANSON ELEMENTARY SCHOOL,1750,BRANSON REORGANIZED 82,E,False,974,,10,9,9,,3,6,5,1,,2010
BRANSON SCHOOL ONLINE GED PREP,1750,BRANSON REORGANIZED 82,H,False,979,,,,,,,,,,0.0,2010
BRANSON UNDIVIDED HIGH SCHOOL,1750,BRANSON REORGANIZED 82,H,False,978,,8,7,7,,,,,,,2010
BRIGHTON COLLEGIATE HIGH SCHOOL,40,BRIGHTON 27J,H,False,1027,,,,,,,,,,,2010
EAGLE RIDGE ACADEMY,40,BRIGHTON 27J,,False,2399,,,,,,,,,,,2010
FOUNDATIONS ACADEMY,40,BRIGHTON 27J,,False,2945,,,,,,,,,,,2010
THOMSON PRIMARY SCHOOL,2395,BRUSH RE-2(J),,False,8832,,,,,,,,,,,2010
BUENA VISTA ONLINE ACADEMY,490,BUENA VISTA R-31,,False,1154,,,,,,,,,,,2010
CHAFFEE COUNTY HIGH SCHOOL,490,BUENA VISTA R-31,H,False,1508,,5,4,5,6,,,,,36.0,2010
FRONTIER CHARTER ACADEMY,970,CALHAN RJ-1,M,False,35,,12,9,6,,,,,,,2010
FRONTIER CHARTER ACADEMY,970,CALHAN RJ-1,E,False,35,,6,6,6,,1,3,1,1,,2010
CAMPO ELEMENTARY SCHOOL,270,CAMPO RE-6,E,False,1248,,6,9,5,,6,7,7,1,,2010
CAMPO UNDIVIDED HIGH SCHOOL,270,CAMPO RE-6,H,False,1252,,6,6,5,,,,,,83.3,2010
CAMPO UNDIVIDED HIGH SCHOOL,270,CAMPO RE-6,M,False,1252,,5,3,3,,,,,,,2010
THE ACADEMIC RECOVERY CENTER OF SAN LUIS VALLEY,2810,CENTER 26 JT,H,False,51,,,,,,,,,,22.2,2010
ANIMAS HIGH SCHOOL,8001,CHARTER SCHOOL INSTITUTE,H,False,75,,12,12,12,,6,6,6,9,,2010
COLORADO CALVERT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,,False,1901,,,,,,,,,,,2010
COLORADO DISTANCE & ELECTRONIC LEARNING ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,True,656,,,,,,,,,,,2010
COLORADO DISTANCE & ELECTRONIC LEARNING ACADEMY,8001,CHARTER SCHOOL INSTITUTE,H,True,656,,,,,,,,,,,2010
COLORADO DISTANCE & ELECTRONIC LEARNING ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,True,656,,,,,,,,,,,2010
COLORADO PROVOST ACADEMY,8001,CHARTER SCHOOL INSTITUTE,,False,1877,,,,,,,,,,,2010
GOAL GED PREP,8001,CHARTER SCHOOL INSTITUTE,,False,3387,,,,,,,,,,,2010
RICARDO FLORES MAGON ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,False,7278,,12,13,7,,,,,,,2010
THOMAS MACLAREN STATE CHARTER SCHOOL,8001,CHARTER SCHOOL INSTITUTE,M,False,8825,,10,6,10,6,10,12,6,12,,2010
PINE RIDGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,,False,6955,,,,,,,,,,,2010
COLORADO SCHOOL FOR THE DEAF AND BLIND,9000,Colorado School for the De,E,False,9999,,,2,,,,,,,,2010
ACADEMY FOR ADVANCED AND CREATIVE LEARNING,1010,COLORADO SPRINGS 11,,False,517,,,,,,,,,,,2010
ACHIEVEK12,1010,COLORADO SPRINGS 11,E,False,269,,,,,,,,,,,2010
ACHIEVEK12,1010,COLORADO SPRINGS 11,M,False,269,,,,,,,,,,,2010
LIFE SKILLS CENTER OF COLORADO SPRINGS,1010,COLORADO SPRINGS 11,H,False,5146,,1,1,1,1,,,,,20.6,2010
LAMB ELEMENTARY SCHOOL,2010,CREEDE SCHOOL DISTRICT,E,False,1962,,9,9,12,9,8,7,7,6,,2010
CROWLEY COUNTY ONLINE ACADEMY,770,CROWLEY COUNTY RE-1-J,H,False,1967,,,,,,,,,,,2010
DEER TRAIL ELEMENTARY SCHOOL,170,DEER TRAIL 26J,E,False,2136,,12,11,12,,7,7,8,6,,2010
MESA ELEMENTARY SCHOOL,2730,DEL NORTE C-7,,False,5840,,,,,,,,,,,2010
DELTA ACADEMY OF APPLIED LEARNING,870,DELTA COUNTY 50(J),E,True,2152,,7,9,7,,11,9,10,12,,2010
DELTA ACADEMY OF APPLIED LEARNING,870,DELTA COUNTY 50(J),M,True,2152,,6,9,10,10,11,7,12,11,,2010
DELTA COUNTY OPPORTUNITY SCHOOL,870,DELTA COUNTY 50(J),H,False,2155,,1,1,1,1,,,,,34.5,2010
DELTA COUNTY OPPORTUNITY SCHOOL,870,DELTA COUNTY 50(J),M,False,2155,,,,,,,,,,,2010
LAMBORN VISION SCHOOL,870,DELTA COUNTY 50(J),E,True,4965,,,,,,,,,,,2010
LAMBORN VISION SCHOOL,870,DELTA COUNTY 50(J),H,True,4965,,,,,,,,,,,2010
LAMBORN VISION SCHOOL,870,DELTA COUNTY 50(J),M,True,4965,,,,,,,,,,,2010
ACADEMY OF URBAN LEARNING,880,DENVER COUNTY 1,H,False,67,,1,1,1,1,,,,,19.0,2010
COLORADO HIGH SCHOOL,880,DENVER COUNTY 1,H,False,1748,,,1,1,1,,,,,27.2,2010
CONNECTIONS ACADEMY,880,DENVER COUNTY 1,H,False,1887,,,,,,,,,,,2010
CONNECTIONS ACADEMY,880,DENVER COUNTY 1,E,False,1887,,,,,,,,,,,2010
CONNECTIONS ACADEMY,880,DENVER COUNTY 1,M,False,1887,,,,,,,,,,,2010
DENVER GREEN SCHOOL,880,DENVER COUNTY 1,,False,2125,,,,,,,,,,,2010
DENVER LANGUAGE SCHOOL,880,DENVER COUNTY 1,,False,2127,,,,,,,,,,,2010
DENVER SCHOOL OF SCIENCE AND TECHNOLOGY: GVR,880,DENVER COUNTY 1,,False,2145,,,,,,,,,,,2010
DENVER VENTURE CHARTER SCHOOL,880,DENVER COUNTY 1,H,False,2187,,,,,,,,,,,2010
EMERSON STREET SCHOOL,880,DENVER COUNTY 1,M,False,133,,,,,,,,,,,2010
EMERSON STREET SCHOOL,880,DENVER COUNTY 1,H,False,133,,,,,,,,,,,2010
EMILY GRIFFITH OPPORTUNITY SCHOOL,880,DENVER COUNTY 1,H,False,2726,,6,3,5,3,,,,,14.3,2010
GIRLS ATHLETIC LEADERSHIP SCHOOL,880,DENVER COUNTY 1,,False,3639,,,,,,,,,,,2010
GREENLEE ELEMENTARY SCHOOL,880,DENVER COUNTY 1,,False,3655,,,,,,,,,,,2010
GREENLEE K-8 SCHOOL,880,DENVER COUNTY 1,M,False,3638,,,,,,,,,,,2010
GREENLEE K-8 SCHOOL,880,DENVER COUNTY 1,E,False,3638,,,,,,,,,,,2010
JUSTICE HIGH SCHOOL DENVER,880,DENVER COUNTY 1,H,False,4494,,1,1,1,,,,,,,2010
KIPP DENVER COLLEGIATE HIGH SCHOOL,880,DENVER COUNTY 1,H,False,4730,,6,6,5,,6,9,3,5,,2010
LIFE SKILLS CENTER OF DENVER,880,DENVER COUNTY 1,H,False,5129,,2,1,1,2,,,,1,9.9,2010
MATHEMATICS AND SCIENCE LEADERSHIP ACADEMY,880,DENVER COUNTY 1,,False,5608,,,,,,,,,,,2010
PHILIPS ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,6912,,,,,,,,,,,2010
PREP ASSESSMENT CENTER,880,DENVER COUNTY 1,H,False,7163,,,,,,,,,,,2010
PREP ASSESSMENT CENTER,880,DENVER COUNTY 1,M,False,7163,,,,,,,,,,,2010
SKYLAND COMMUNITY HIGH SCHOOL,880,DENVER COUNTY 1,H,False,7947,,,,,,,,,,,2010
SOAR,880,DENVER COUNTY 1,,False,8053,,,,,,,,,,,2010
SUMMIT ACADEMY,880,DENVER COUNTY 1,,False,8145,,,,,,,,,,,2010
WEST DENVER PREP - HIGHLAND CAMPUS,880,DENVER COUNTY 1,,False,9336,,,,,,,,,,,2010
WEST DENVER PREP - LAKE CAMPUS,880,DENVER COUNTY 1,,False,9390,,,,,,,,,,,2010
WESTERLY CREEK ELEMENTARY,880,DENVER COUNTY 1,E,False,9425,,10,12,9,,,,,,,2010
RICO ELEMENTARY SCHOOL,890,DOLORES COUNTY RE NO.2,E,False,50,,,,,,,,,,,2010
RICO ELEMENTARY SCHOOL,890,DOLORES COUNTY RE NO.2,M,False,50,,,,,,,,,,,2010
DANIEL C OAKES HIGH SCHOOL--CASTLE ROCK,900,DOUGLAS COUNTY RE 1,H,False,201,,6,3,5,5,,,,,69.9,2010
EAGLE ACADEMY,900,DOUGLAS COUNTY RE 1,H,False,2338,,,,,,,,,,66.3,2010
EDCSD: COLORADO CYBER SCHOOL,900,DOUGLAS COUNTY RE 1,H,False,5405,,7,5,5,,,,,,,2010
EDCSD: COLORADO CYBER SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,5405,,5,5,5,,,,,,,2010
EDCSD: COLORADO CYBER SCHOOL,900,DOUGLAS COUNTY RE 1,M,False,5405,,7,5,7,5,1,2,1,1,,2010
MOUNTAIN VIEW ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,6152,,9,11,9,,,,,,,2010
NORTH STAR ACADEMY,900,DOUGLAS COUNTY RE 1,M,False,1579,,10,9,10,,12,10,12,9,,2010
PLUM CREEK ACADEMY,900,DOUGLAS COUNTY RE 1,H,False,7091,,,,,,,,,,,2010
PLUM CREEK ACADEMY,900,DOUGLAS COUNTY RE 1,M,False,7091,,,,,,,,,,,2010
ROXBOROUGH ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,,False,7096,,,,,,,,,,,2010
SAGE CANYON ELEMENTARY,900,DOUGLAS COUNTY RE 1,,False,5607,,,,,,,,,,,2010
SKYVIEW ACADEMY,900,DOUGLAS COUNTY RE 1,,False,6365,,,,,,,,,,,2010
NEW AMERICA CHARTER SCHOOL,910,EAGLE COUNTY RE 50,H,False,6238,,1,,1,,,,,,56.5,2010
VAIL SKI AND SNOWBOARD ACADEMY (USSA),910,EAGLE COUNTY RE 50,H,False,9061,,,,,,,,,,,2010
VAIL SKI AND SNOWBOARD ACADEMY (USSA),910,EAGLE COUNTY RE 50,M,False,9061,,10,12,12,,,,,,,2010
INDIAN PEAKS CHARTER SCHOOL,1350,EAST GRAND 2,E,False,4277,,7,6,6,,5,2,3,8,,2010
LA JUNTA HIGH SCHOOL,2520,EAST OTERO R-1,H,False,4844,,,,,,,,,,,2010
LA JUNTA JR/SR HIGH SCHOOL,2520,EAST OTERO R-1,,False,5015,,,,,,,,,,,2010
LA JUNTA MIDDLE SCHOOL,2520,EAST OTERO R-1,M,False,4842,,,,,,,,,,,2010
LA JUNTA PRIMARY SCHOOL,2520,EAST OTERO R-1,,False,4843,,,,,,,,,,,2010
TIGER LEARNING CENTER,2520,EAST OTERO R-1,H,False,8849,,,,,,,,,,,2010
EATON ELEMENTARY SCHOOL,3085,EATON RE-2,,False,2448,,,,,,,,,,,2010
EDISON ACADEMY,1120,EDISON 54 JT,H,False,2504,,5,5,5,,,,,,68.3,2010
EDISON ACADEMY,1120,EDISON 54 JT,M,False,2504,,,,,,,,,,,2010
EDISON JUNIOR-SENIOR HIGH SCHOOL,1120,EDISON 54 JT,H,False,2526,,11,12,10,9,10,10,9,10,95.8,2010
EDISON PREP,1120,EDISON 54 JT,,False,2523,,,,,,,,,,,2010
FRONTIER HIGH SCHOOL,920,ELIZABETH C-1,H,False,3236,,3,1,4,,,,,,53.6,2010
FALCON VIRTUAL ACADEMY,1110,FALCON 49,,False,2877,,,,,,,,,,,2010
ROCKY MOUNTAIN CLASSICAL ACADEMY,1110,FALCON 49,H,False,7463,,6,6,6,6,6,2,10,6,,2010
THE IMAGINE CLASSICAL ACADEMY AT INDIGO RANCH,1110,FALCON 49,M,False,4251,,10,9,11,,12,12,12,12,,2010
LORRAINE SECONDARY SCHOOL,1000,FOUNTAIN 8,M,False,203,,3,1,1,6,3,6,1,3,,2010
WEIKEL ELEMENTARY SCHOOL,1000,FOUNTAIN 8,,False,9610,,,,,,,,,,,2010
FOCUS ACADEMY,1150,FREMONT RE-2,,False,2961,,,,,,,,,,,2010
BEA UNDERWOOD ELEMENTARY SCHOOL,1220,GARFIELD 16,E,False,3578,,6,6,3,,,,,,,2010
CAMERON ELEMENTARY SCHOOL,3120,GREELEY 6,E,False,1228,,,,,,,,,,,2010
COLORADO HIGH SCHOOL OF GREELEY,3120,GREELEY 6,H,False,1780,,,,,,,,,,,2010
JEFFERSON ELEMENTARY SCHOOL,3120,GREELEY 6,E,False,5199,,,,,,,,,,,2010
JEFFERSON HIGH SCHOOL,3120,GREELEY 6,,False,4425,,,,,,,,,,,2010
MAPLEWOOD ELEMENTARY SCHOOL,3120,GREELEY 6,,False,5620,,,,,,,,,,,2010
MAPLEWOOD MIDDLE SCHOOL,3120,GREELEY 6,M,False,5552,,,,,,,,,,,2010
TRADEMARK LEARNING CENTER,3120,GREELEY 6,H,False,8890,,,,,,,,,,,2010
MARBLE CHARTER SCHOOL,1360,GUNNISON WATERSHED RE1J,M,False,5577,,13,9,13,,,,10,,,2010
MARBLE CHARTER SCHOOL,1360,GUNNISON WATERSHED RE1J,E,False,5577,,8,10,10,,,,,,,2010
HANOVER ELEMENTARY SCHOOL,1070,HANOVER 28,E,False,3754,,,,,,,,,,,2010
PRAIRIE HEIGHTS ELEMENTARY SCHOOL,1070,HANOVER 28,E,False,6701,,6,7,6,,,,,,,2010
ADULT & FAMILY LITERACY,980,HARRISON 2,H,False,29,,,,,,,,,,0.0,2010
LAKE CITY COMMUNITY SCHOOL,1380,HINSDALE COUNTY RE 1,H,True,4899,,13,13,12,,13,13,13,10,,2010
LAKE CITY COMMUNITY SCHOOL,1380,HINSDALE COUNTY RE 1,E,True,4899,,9,13,9,13,9,13,6,8,,2010
LAKE CITY COMMUNITY SCHOOL,1380,HINSDALE COUNTY RE 1,M,True,4899,,10,7,12,11,10,7,9,12,,2010
HUERFANO COUNTY OPPORTUNITY AND ENRICHMENT SCHOOL,1390,HUERFANO RE-1,H,False,4161,,3,2,5,,,1,1,,9.5,2010
IGNACIO ACADEMY,1540,IGNACIO 11 JT,H,False,4179,,,,,,,,,,,2010
IGNACIO ELEMENTARY SCHOOL,1540,IGNACIO 11 JT,E,False,4250,,5,6,5,,,,,,,2010
ARVADA K-8,1420,JEFFERSON COUNTY R-1,,False,109,,,,,,,,,,,2010
ARVADA MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,False,366,,,,,,,,,,,2010
BERGEN MEADOW PRIMARY SCHOOL,1420,JEFFERSON COUNTY R-1,,False,776,,,,,,,,,,,2010
BRADFORD PRIMARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,950,,12,12,12,,,,,,,2010
CONNECTIONS LEARNING CENTER ON THE EARLE JOHNSON C,1420,JEFFERSON COUNTY R-1,H,False,4798,,,,,,,,,,,2010
JEFFCO'S 21ST CENTURY VIRTUAL ACADEMY,1420,JEFFERSON COUNTY R-1,H,False,4408,,,,,,,,,,,2010
JEFFCO'S 21ST CENTURY VIRTUAL ACADEMY,1420,JEFFERSON COUNTY R-1,M,False,4408,,,,,,,,,,,2010
LONGVIEW HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,5623,,,,,,,,,,70.4,2010
MC LAIN COMMUNITY HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,34,,,,,,,,,,18.0,2010
MILLER SPECIAL EDUCATION,1420,JEFFERSON COUNTY R-1,H,False,5892,,,6,,,,,,,45.8,2010
MILLER SPECIAL EDUCATION,1420,JEFFERSON COUNTY R-1,E,False,5892,,1,1,1,,,,,,,2010
MILLER SPECIAL EDUCATION,1420,JEFFERSON COUNTY R-1,M,False,5892,,1,1,1,3,,,,,,2010
MOUNTAIN PHOENIX COMMUNITY SCHOOL,1420,JEFFERSON COUNTY R-1,E,True,6139,,7,5,5,,,,1,6,,2010
MOUNTAIN PHOENIX COMMUNITY SCHOOL,1420,JEFFERSON COUNTY R-1,M,True,6139,,,,,,,,,,,2010
ROCKY MOUNTAIN DEAF SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,5415,,1,1,5,6,,,,,,2010
RUSSELL ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,7520,,,,,,,,,,,2010
SOBESKY ACADEMY,1420,JEFFERSON COUNTY R-1,E,False,8036,,1,1,1,,,,,,,2010
TWO ROADS CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,,False,8793,,,,,,,,,,,2010
WARREN OCCUPATION TECHNICAL CENTER,1420,JEFFERSON COUNTY R-1,H,False,9234,,,,,,,,,,,2010
WARREN TECH NORTH,1420,JEFFERSON COUNTY R-1,,False,9245,,,,,,,,,,,2010
KARVAL ELEMENTARY SCHOOL,1810,KARVAL RE-23,E,False,4502,,5,6,5,,,,,,,2010
KARVAL JUNIOR-SENIOR HIGH SCHOOL,1810,KARVAL RE-23,H,True,4506,,6,6,7,9,7,7,6,9,100.0,2010
KARVAL JUNIOR-SENIOR HIGH SCHOOL,1810,KARVAL RE-23,M,True,4506,,6,6,6,,8,9,6,8,,2010
KIM ELEMENTARY SCHOOL,1760,KIM REORGANIZED 88,E,False,4690,,6,6,6,,6,7,3,6,,2010
WASHINGTON ELEMENTARY SCHOOL,2660,LAMAR RE-2,,False,9268,,,,,,,,,,,2010
